Time [s],X [g],Y [g],Z [g]
77.476,-0.1953155,0.7812619,0.390631
77.477,0.1953155,0,-0.390631
77.478,0,1.367208,0.5859464
77.479,-0.1953155,0,0.5859464
77.48,-0.390631,-1.367208,0.9765774
77.481,0.7812619,-0.5859464,0.5859464
77.482,-0.1953155,-0.1953155,0.390631
77.483,0,0.9765774,-0.390631
77.484,0.390631,-0.1953155,0.5859464
77.485,0.5859464,0,0.9765774
77.486,0.9765774,1.757839,0.5859464
77.487,0.9765774,-0.390631,1.367208
77.488,0.7812619,0,0.5859464
77.489,0.7812619,0.5859464,0
77.49,0.390631,0.7812619,1.171893
77.491,-0.7812619,-0.1953155,1.953155
77.492,-1.171893,0.390631,-0.390631
77.493,-1.367208,0.9765774,2.343786
77.494,0.390631,0.9765774,0.7812619
77.495,0.5859464,0.1953155,-0.9765774
77.496,0.390631,0.1953155,1.367208
77.497,0.1953155,1.367208,-0.390631
77.498,0.9765774,-0.390631,0.7812619
77.499,0.5859464,0.9765774,0.1953155
77.5,0.390631,-1.562524,0.390631
77.501,-0.1953155,0,-1.562524
77.502,0.5859464,-0.390631,2.343786
77.503,0,1.562524,0
77.504,-0.1953155,0.390631,-0.9765774
77.505,1.367208,-0.5859464,0.7812619
77.506,1.171893,0.1953155,-0.9765774
77.507,1.367208,2.14847,0.1953155
77.508,0.390631,-0.5859464,-0.9765774
77.509,0.1953155,-0.1953155,0.1953155
77.51,-0.9765774,0.1953155,-1.367208
77.511,1.562524,-0.5859464,0.1953155
77.512,-1.953155,0.390631,0.5859464
77.513,0.390631,0,-0.390631
77.514,0.390631,0.7812619,-0.1953155
77.515,0.5859464,0.390631,1.953155
77.516,0.1953155,0.5859464,-0.390631
77.517,1.171893,1.953155,0.7812619
77.518,0,-0.390631,0.5859464
77.519,0,0.390631,-0.390631
77.52,0.1953155,-0.7812619,0.1953155
77.521,1.562524,1.367208,-0.390631
77.522,-1.367208,0.5859464,-0.9765774
77.523,0.5859464,2.734417,0
77.524,0.1953155,-0.390631,0.9765774
77.525,0.7812619,-0.1953155,1.367208
77.526,-0.1953155,0.9765774,0.5859464
77.527,-0.7812619,0,-0.1953155
77.528,0.7812619,0.1953155,0.7812619
77.529,-0.7812619,-0.390631,-0.9765774
77.53,1.367208,0.390631,1.562524
77.531,0.7812619,-1.562524,-0.9765774
77.532,-0.1953155,0.5859464,0.1953155
77.533,1.171893,0,0.5859464
77.534,1.171893,1.562524,-0.9765774
77.535,-1.171893,-0.390631,0.390631
77.536,1.367208,1.171893,1.171893
77.537,0,-0.5859464,-0.390631
77.538,0.5859464,0.7812619,1.367208
77.539,1.367208,0.390631,-0.5859464
77.54,0.1953155,0.1953155,1.562524
77.541,-0.7812619,0,0
77.542,0.5859464,-0.1953155,0.7812619
77.543,1.367208,-1.367208,-0.1953155
77.544,-0.5859464,0.5859464,-0.9765774
77.545,0.7812619,0.390631,0.9765774
77.546,-0.7812619,0.1953155,-0.7812619
77.547,0.1953155,0.1953155,0.7812619
77.548,0.5859464,0.9765774,0.1953155
77.549,0.9765774,1.757839,0.7812619
77.55,-1.367208,0.390631,0.5859464
77.551,1.171893,-0.390631,0.390631
77.552,1.953155,0,-0.390631
77.553,1.171893,0.1953155,0.390631
77.554,-0.390631,0.5859464,0.9765774
77.555,0.5859464,-0.1953155,-1.367208
77.556,-1.367208,0.7812619,-0.5859464
77.557,0.5859464,0.1953155,-0.1953155
77.558,0.390631,1.171893,0.7812619
77.559,0,-0.390631,0
77.56,0,1.953155,1.171893
77.561,1.367208,0,-0.1953155
77.562,-0.5859464,-0.390631,1.562524
77.563,0.1953155,-1.171893,0.1953155
77.564,0.5859464,0.5859464,0.390631
77.565,1.171893,1.171893,-1.367208
77.566,-0.390631,1.562524,0.9765774
77.567,0.1953155,-0.390631,-0.7812619
77.568,1.367208,-0.1953155,-0.390631
77.569,-0.5859464,0.7812619,0.390631
77.57,0,-0.390631,-1.171893
77.571,1.367208,0.9765774,0.5859464
77.572,-1.562524,-0.1953155,0.5859464
77.573,1.171893,-0.1953155,1.953155
77.574,0.9765774,-0.390631,0.1953155
77.575,0.390631,-0.1953155,0.1953155
77.576,-0.1953155,-0.1953155,0.390631
77.577,0.7812619,-0.1953155,1.171893
77.578,-0.7812619,-0.390631,-0.9765774
77.579,0.390631,1.367208,-0.1953155
77.58,0.9765774,0.5859464,0.1953155
77.581,0.9765774,0.7812619,0.9765774
77.582,-1.171893,0.9765774,0.9765774
77.583,0.1953155,0,-0.9765774
77.584,0.1953155,-0.390631,0.7812619
77.585,0,0.390631,-0.7812619
77.586,-0.390631,0.390631,0.9765774
77.587,-0.390631,0.1953155,0.5859464
77.588,1.953155,0,0.390631
77.589,0.390631,0.5859464,1.171893
77.59,0.5859464,0.7812619,0
77.591,0.390631,1.367208,-0.5859464
77.592,0,0.5859464,-0.9765774
77.593,0.390631,1.562524,0.390631
77.594,0.1953155,0.7812619,-0.390631
77.595,1.367208,0.1953155,0.7812619
77.596,1.171893,-0.1953155,0.5859464
77.597,-0.1953155,0,-0.5859464
77.598,0.1953155,1.367208,0.9765774
77.599,-2.343786,-0.1953155,1.171893
77.6,1.562524,0.390631,1.367208
77.601,1.171893,0.1953155,1.562524
77.602,-0.5859464,0.5859464,-0.5859464
77.603,0.1953155,-0.1953155,0
77.604,0.7812619,0.7812619,0.1953155
77.605,-0.1953155,1.367208,0.5859464
77.606,1.367208,0.9765774,0.1953155
77.607,0.9765774,-1.562524,0.5859464
77.608,0.5859464,0.9765774,0.9765774
77.609,-1.171893,-0.390631,-0.1953155
77.61,1.367208,-0.1953155,0.1953155
77.611,-0.5859464,-0.390631,0.7812619
77.612,0.7812619,1.367208,-0.390631
77.613,-0.7812619,-0.1953155,0.9765774
77.614,0.5859464,-0.9765774,0.390631
77.615,0,0.9765774,1.562524
77.616,0.9765774,1.171893,-0.390631
77.617,-0.7812619,1.171893,0
77.618,-0.5859464,1.367208,1.171893
77.619,0.1953155,0,2.343786
77.62,-0.390631,1.367208,0.9765774
77.621,1.757839,-1.171893,-0.9765774
77.622,-0.5859464,1.171893,-0.1953155
77.623,-0.5859464,1.171893,0.390631
77.624,0.9765774,-0.390631,0.9765774
77.625,0.7812619,0.1953155,-0.390631
77.626,1.562524,1.171893,0.5859464
77.627,-0.7812619,0,0.9765774
77.628,-0.1953155,-0.1953155,0.7812619
77.629,-0.1953155,-0.1953155,0.1953155
77.63,2.343786,0.7812619,0.7812619
77.631,0.390631,0.390631,2.14847
77.632,0,-0.1953155,0.7812619
77.633,-0.5859464,0.9765774,-0.7812619
77.634,-0.1953155,0.9765774,1.367208
77.635,0.7812619,-0.7812619,0
77.636,-1.953155,-0.1953155,0.7812619
77.637,1.171893,2.734417,1.757839
77.638,-1.367208,1.562524,0.7812619
77.639,-0.5859464,-0.5859464,0.1953155
77.64,0.9765774,-0.7812619,0.1953155
77.641,1.562524,0,0.1953155
77.642,1.367208,-0.9765774,-0.1953155
77.643,0,-0.1953155,0.5859464
77.644,0.9765774,0.5859464,2.343786
77.645,0.5859464,0.5859464,0.7812619
77.646,0.9765774,0.7812619,0.1953155
77.647,-0.1953155,1.171893,0.390631
77.648,-0.1953155,0,-1.757839
77.649,0.390631,-0.1953155,0.390631
77.65,0,-0.5859464,-0.5859464
77.651,0,-0.390631,0.390631
77.652,0.5859464,1.367208,-0.5859464
77.653,0.1953155,1.757839,1.757839
77.654,0,0.1953155,-2.14847
77.655,0.390631,-0.390631,-0.1953155
77.656,-1.757839,0.5859464,-0.390631
77.657,0,0.1953155,2.929732
77.658,1.171893,0.7812619,0.390631
77.659,0.390631,-0.9765774,0.5859464
77.66,-0.9765774,0,0.390631
77.661,2.14847,1.171893,0.1953155
77.662,1.171893,0.390631,0.7812619
77.663,0.7812619,0.390631,0.1953155
77.664,0.1953155,0.1953155,0.1953155
77.665,1.367208,0.1953155,0.9765774
77.666,-0.5859464,1.171893,0.1953155
77.667,0,-0.9765774,0.390631
77.668,1.171893,0.9765774,-0.9765774
77.669,-0.1953155,1.367208,-0.5859464
77.67,-0.1953155,-1.367208,-0.1953155
77.671,0.5859464,1.171893,-0.1953155
77.672,0,1.171893,0
77.673,1.757839,1.171893,0.1953155
77.674,0.7812619,-0.9765774,0.9765774
77.675,0.5859464,-0.390631,0.1953155
77.676,-1.171893,-0.5859464,0.1953155
77.677,0.1953155,0.1953155,1.367208
77.678,0.7812619,1.367208,-0.9765774
77.679,-0.5859464,-0.1953155,0.1953155
77.68,-0.390631,0.7812619,0.5859464
77.681,0.5859464,0.1953155,1.171893
77.682,0.9765774,1.757839,0.9765774
77.683,0.390631,-0.5859464,0.1953155
77.684,1.562524,0.5859464,0.5859464
77.685,0,1.171893,1.171893
77.686,0.390631,2.14847,1.562524
77.687,0.5859464,-0.390631,-0.5859464
77.688,-0.9765774,-0.1953155,-0.390631
77.689,-0.1953155,-1.953155,2.343786
77.69,0.9765774,0.5859464,-0.5859464
77.691,-0.390631,0.9765774,-2.539101
77.692,0.5859464,0,0.390631
77.693,0.390631,1.367208,0.1953155
77.694,0,0,-0.1953155
77.695,0.390631,1.171893,-0.1953155
77.696,1.562524,-0.390631,-0.1953155
77.697,0,-0.1953155,0
77.698,0.1953155,-0.390631,-0.5859464
77.699,0.390631,0.390631,0.5859464
77.7,-1.562524,0.5859464,1.171893
77.701,0,1.367208,0.7812619
77.702,0.7812619,1.757839,0.9765774
77.703,-0.390631,-0.7812619,0.5859464
77.704,1.562524,0.7812619,0.7812619
77.705,-0.5859464,-0.1953155,1.367208
77.706,0.7812619,0.5859464,1.562524
77.707,-0.1953155,0.7812619,0.5859464
77.708,1.562524,0,1.367208
77.709,-1.171893,-0.5859464,-0.5859464
77.71,0,0.9765774,1.171893
77.711,0.1953155,-0.390631,-0.9765774
77.712,0.9765774,0.9765774,1.757839
77.713,-0.390631,0.7812619,0.1953155
77.714,0,0,-1.953155
77.715,0.1953155,-1.562524,0.5859464
77.716,1.367208,-0.5859464,1.171893
77.717,-0.5859464,1.171893,0.7812619
77.718,-0.1953155,0.9765774,1.367208
77.719,0.390631,1.367208,-0.9765774
77.72,0,-0.7812619,1.757839
77.721,-0.1953155,-0.1953155,-1.562524
77.722,1.171893,0.5859464,-0.1953155
77.723,0.1953155,0.5859464,-1.562524
77.724,1.171893,-0.390631,0.1953155
77.725,0.390631,1.757839,1.171893
77.726,-0.1953155,-0.390631,1.757839
77.727,-0.390631,0.5859464,-0.390631
77.728,0.1953155,0.390631,0.7812619
77.729,0.5859464,1.171893,-0.390631
77.73,-0.9765774,-0.7812619,-0.1953155
77.731,-0.390631,0.390631,-0.1953155
77.732,0.1953155,0.5859464,-1.171893
77.733,1.171893,-0.1953155,-1.562524
77.734,0.5859464,2.343786,0.390631
77.735,1.367208,0.390631,0.1953155
77.736,-0.1953155,-0.390631,1.171893
77.737,-0.9765774,1.367208,0
77.738,0.7812619,-0.5859464,0
77.739,1.171893,0.390631,1.171893
77.74,1.562524,0.5859464,0.9765774
77.741,0.390631,0.9765774,-0.390631
77.742,-0.1953155,-0.390631,-0.5859464
77.743,0.7812619,-0.7812619,0.5859464
77.744,0.1953155,0.5859464,1.953155
77.745,0.5859464,0.7812619,1.171893
77.746,-0.390631,0.7812619,1.562524
77.747,0.390631,-0.1953155,-1.171893
77.748,0.390631,-1.757839,0.5859464
77.749,0.390631,-0.1953155,1.757839
77.75,1.171893,1.953155,0.390631
77.751,-0.390631,0.5859464,-0.7812619
77.752,0.9765774,-0.5859464,0.390631
77.753,-0.1953155,0.1953155,-0.1953155
77.754,0.7812619,-0.390631,0
77.755,0.390631,1.367208,-0.9765774
77.756,0.7812619,1.562524,0.7812619
77.757,1.171893,1.367208,-0.390631
77.758,0.390631,0.1953155,0.9765774
77.759,0.5859464,-0.390631,-0.5859464
77.76,1.367208,1.171893,-1.367208
77.761,-0.390631,-1.367208,0.1953155
77.762,0.5859464,-0.390631,0.7812619
77.763,0.7812619,0.1953155,-0.1953155
77.764,-0.9765774,0.1953155,0.5859464
77.765,2.929732,0.390631,0.1953155
77.766,-0.9765774,1.953155,0
77.767,0.5859464,0.390631,1.562524
77.768,-0.1953155,-0.5859464,0.1953155
77.769,-0.5859464,0.5859464,0
77.77,0.390631,0.9765774,-0.390631
77.771,0,1.171893,0.7812619
77.772,-0.1953155,0.5859464,1.171893
77.773,1.171893,-0.9765774,1.757839
77.774,0.5859464,0.5859464,0.9765774
77.775,0.5859464,1.367208,1.953155
77.776,0.9765774,0.5859464,0.1953155
77.777,-0.5859464,1.171893,1.757839
77.778,0.9765774,-1.757839,-0.5859464
77.779,1.171893,0.7812619,-1.171893
77.78,0.7812619,0.5859464,-0.390631
77.781,0,0.1953155,-0.390631
77.782,-0.9765774,0.9765774,0.1953155
77.783,0.390631,1.171893,1.367208
77.784,1.757839,-1.171893,0.9765774
77.785,-1.171893,0.5859464,0.5859464
77.786,0.7812619,1.171893,0.1953155
77.787,0.1953155,0,1.171893
77.788,0.7812619,0.1953155,0.5859464
77.789,0.1953155,0.5859464,1.953155
77.79,-1.367208,0.7812619,-0.5859464
77.791,0.1953155,1.171893,-1.171893
