Time [s],X [°/s],Y [°/s],Z [°/s]
77.476,-4.638742,9.277485,-1.831083
77.47725,-4.150454,11.10857,-1.831083
77.4785,-3.173877,10.00992,-2.075227
77.47975,-2.80766,9.277485,-2.075227
77.481,-4.638742,9.765774,-1.831083
77.482,-5.004959,10.00992,-2.197299
77.48325,-4.394598,10.00992,-1.586938
77.4845,-5.249104,9.643702,-1.220722
77.48575,-3.784237,9.887846,-1.220722
77.487,-3.784237,8.911269,-1.953155
77.488,-4.272526,8.789197,-2.197299
77.48925,-4.394598,9.887846,-1.342794
77.4905,-3.540093,9.887846,-1.464866
77.49175,-4.150454,10.25406,-1.09865
77.493,-3.540093,8.911269,-2.197299
77.49425,-4.394598,10.13199,-2.075227
77.4955,-3.784237,9.765774,-2.075227
77.49675,-4.760815,10.00992,-2.319371
77.498,-4.394598,10.25406,-2.441443
77.499,-2.80766,9.765774,-1.831083
77.50025,-3.662165,9.399557,-1.831083
77.5015,-3.540093,8.42298,-1.586938
77.50275,-4.638742,9.521629,-1.09865
77.504,-4.516671,10.62028,-3.173877
77.50525,-3.90631,10.13199,-3.173877
77.5065,-3.295949,9.277485,-1.586938
77.50775,-5.371176,10.13199,-1.953155
77.509,-4.150454,10.00992,-2.441443
77.51,-5.493248,10.25406,-2.563516
77.51125,-5.371176,9.521629,-1.342794
77.5125,-4.394598,8.789197,-1.831083
77.51375,-5.127031,9.765774,-1.342794
77.515,-5.249104,9.033341,-1.464866
77.51625,-4.028382,9.643702,-1.953155
77.5175,-4.516671,10.25406,-2.563516
77.51875,-5.737392,9.765774,-2.80766
77.52,-4.760815,9.155413,-1.831083
77.521,-4.760815,9.887846,-1.220722
77.52225,-4.394598,9.399557,-1.220722
77.5235,-5.127031,10.74235,-1.464866
77.52475,-4.638742,10.49821,-1.342794
77.526,-5.004959,8.789197,-1.953155
77.527,-5.371176,9.765774,-1.831083
77.52825,-4.882887,9.643702,-1.464866
77.5295,-5.493248,9.033341,-1.342794
77.53075,-4.882887,9.033341,-1.831083
77.532,-4.028382,8.545053,-2.197299
77.53325,-3.784237,9.033341,-1.953155
77.5345,-4.638742,10.00992,-1.831083
77.53575,-4.028382,8.545053,-1.831083
77.537,-5.127031,10.25406,-1.464866
77.538,-5.127031,9.765774,-2.197299
77.53925,-5.859465,9.521629,-1.70901
77.5405,-4.150454,8.789197,-1.831083
77.54175,-3.784237,8.42298,-1.464866
77.543,-4.516671,8.545053,-1.586938
77.54425,-4.516671,8.545053,-2.075227
77.5455,-5.004959,10.00992,-1.586938
77.54675,-5.249104,9.277485,-0.6103609
77.548,-3.784237,8.789197,-1.220722
77.54925,-4.028382,8.667125,-0.7324331
77.5505,-4.150454,9.521629,-0.6103609
77.55175,-3.662165,8.911269,-1.70901
77.553,-3.662165,8.667125,-1.464866
77.554,-3.051804,8.056764,-2.197299
77.55525,-2.441443,8.178836,-2.075227
77.5565,-4.516671,9.521629,-2.563516
77.55775,-4.516671,9.277485,-3.173877
77.559,-2.929732,8.911269,-2.563516
77.56,-4.760815,8.667125,-1.586938
77.56125,-4.028382,6.71397,-1.342794
77.5625,-3.418021,7.690547,-1.586938
77.56375,-3.295949,8.789197,-0.7324331
77.565,-3.784237,8.545053,-0.8545052
77.56625,-3.540093,7.934691,-1.09865
77.5675,-4.028382,7.812619,-1.342794
77.56875,-3.418021,7.690547,-1.70901
77.57,-4.028382,8.178836,-1.09865
77.571,-4.394598,7.812619,-0.7324331
77.57225,-5.004959,6.836042,-0.9765774
77.5735,-3.784237,6.836042,-1.220722
77.57475,-3.784237,8.42298,-1.70901
77.576,-4.882887,8.789197,-1.586938
77.577,-3.418021,7.446403,-1.09865
77.57825,-3.662165,8.300908,-0.8545052
77.5795,-4.394598,8.667125,-1.586938
77.58075,-5.004959,7.812619,-1.09865
77.582,-4.760815,8.545053,-0.3662165
77.58325,-3.295949,7.568475,-1.586938
77.5845,-4.028382,9.521629,-0.9765774
77.58575,-3.784237,8.545053,-1.831083
77.587,-3.662165,7.934691,-1.220722
77.588,-4.882887,8.911269,-0.7324331
77.58925,-4.394598,8.056764,-1.586938
77.5905,-4.516671,8.789197,-1.220722
77.59175,-4.150454,8.178836,-0.7324331
77.593,-4.272526,8.911269,-0.6103609
77.59425,-5.249104,9.033341,-0.4882887
77.5955,-3.295949,7.690547,-0.7324331
77.59675,-4.150454,8.056764,-0.8545052
77.598,-6.836042,9.399557,-1.464866
77.599,-4.882887,8.178836,-0.6103609
77.60025,-4.394598,7.934691,-0.3662165
77.6015,-5.004959,8.42298,-1.220722
77.60275,-5.61532,9.399557,-1.220722
77.604,-5.249104,8.300908,-0.1220722
77.605,-5.127031,8.42298,-0.1220722
77.60625,-4.760815,8.42298,-1.342794
77.6075,-5.371176,9.643702,-1.70901
77.60875,-6.103609,9.033341,-1.220722
77.61,-5.737392,7.934691,-1.220722
77.61125,-5.61532,7.934691,-2.197299
77.6125,-5.371176,8.667125,-1.586938
77.61375,-5.493248,9.033341,-0.7324331
77.615,-6.71397,9.277485,-1.586938
77.616,-5.981536,8.667125,-1.464866
77.61725,-6.591897,9.765774,-0.4882887
77.6185,-6.103609,10.62028,-0.4882887
77.61975,-4.882887,8.42298,-0.8545052
77.621,-5.981536,8.178836,0.3662165
77.62225,-5.981536,8.667125,-0.1220722
77.6235,-5.981536,9.521629,-1.464866
77.62475,-4.882887,9.277485,-1.220722
77.626,-6.469825,9.277485,-0.4882887
77.627,-5.859465,8.056764,-0.2441444
77.62825,-5.249104,8.789197,-1.342794
77.6295,-4.760815,8.056764,-1.464866
77.63075,-5.249104,9.033341,-0.2441444
77.632,-6.103609,8.667125,-0.8545052
77.63325,-6.225681,8.545053,-0.7324331
77.6345,-6.347753,9.155413,-0.3662165
77.63575,-5.371176,8.056764,-0.8545052
77.637,-4.150454,7.446403,-1.09865
77.638,-5.249104,9.155413,-1.220722
77.63925,-6.225681,9.887846,-1.464866
77.6405,-5.737392,9.155413,-1.586938
77.64175,-4.760815,8.300908,-0.7324331
77.643,-5.859465,8.545053,-0.9765774
77.64425,-6.958114,9.155413,-0.9765774
77.6455,-5.371176,9.033341,-1.342794
77.64675,-5.859465,9.155413,-1.09865
77.648,-5.61532,9.399557,-0.9765774
77.649,-5.127031,9.033341,-0.3662165
77.65025,-4.394598,8.300908,-0.2441444
77.6515,-4.516671,8.911269,-0.1220722
77.65275,-6.103609,9.033341,-0.6103609
77.654,-7.080186,8.911269,-0.2441444
77.655,-5.737392,8.178836,-1.09865
77.65625,-5.737392,10.00992,-0.6103609
77.6575,-3.784237,8.789197,-0.8545052
77.65875,-5.61532,8.545053,-0.8545052
77.66,-6.71397,8.545053,-1.09865
77.66125,-5.127031,8.789197,-1.342794
77.6625,-6.347753,9.277485,-2.319371
77.66375,-5.61532,8.42298,-0.7324331
77.665,-5.127031,7.812619,-0.9765774
77.666,-5.493248,8.056764,-1.09865
77.66725,-6.225681,8.42298,-1.342794
77.6685,-5.61532,8.789197,-1.220722
77.66975,-4.882887,7.690547,-0.8545052
77.671,-5.493248,8.300908,-0.9765774
77.67225,-4.638742,8.42298,-1.70901
77.6735,-3.540093,8.789197,-1.953155
77.67475,-5.127031,8.545053,0.2441444
77.676,-5.127031,8.056764,-0.7324331
77.677,-5.61532,9.399557,-1.09865
77.67825,-5.127031,8.545053,-1.220722
77.6795,-5.249104,8.178836,-0.3662165
77.68075,-6.469825,8.789197,-0.6103609
77.682,-5.004959,8.178836,-1.342794
77.68325,-5.249104,8.911269,-0.8545052
77.6845,-5.371176,8.545053,-0.8545052
77.68575,-6.469825,9.643702,-1.09865
77.687,-6.347753,8.42298,-0.8545052
77.688,-6.347753,8.056764,-0.9765774
77.68925,-5.004959,8.911269,-0.6103609
77.6905,-5.61532,8.42298,-0.6103609
77.69175,-6.103609,10.13199,-2.441443
77.693,-5.859465,8.667125,-2.929732
77.694,-6.225681,8.056764,-2.441443
77.69525,-6.347753,6.836042,-1.342794
77.6965,-5.737392,8.42298,-1.342794
77.69775,-5.493248,8.300908,-1.09865
77.699,-5.371176,8.789197,-1.220722
77.70025,-5.61532,8.911269,-1.342794
77.7015,-5.493248,7.32433,-0.9765774
77.70275,-6.103609,8.42298,-1.464866
77.704,-5.127031,8.300908,-1.09865
77.705,-4.638742,9.155413,-1.586938
77.70625,-5.004959,8.42298,-1.220722
77.7075,-5.493248,9.033341,-0.7324331
77.70875,-5.981536,8.42298,-0.4882887
77.71,-6.225681,8.300908,-0.7324331
77.71125,-5.981536,8.178836,-1.586938
77.7125,-6.225681,9.399557,-1.220722
77.71375,-5.981536,7.934691,-1.220722
77.715,-5.737392,7.812619,-0.9765774
77.716,-6.103609,9.765774,-0.7324331
77.71725,-5.61532,9.277485,-0.6103609
77.7185,-5.737392,8.789197,-1.342794
77.71975,-4.516671,8.178836,-1.464866
77.721,-5.493248,8.178836,-1.342794
77.72225,-6.103609,8.300908,-1.220722
77.7235,-5.249104,8.178836,-1.831083
77.72475,-5.61532,8.911269,-1.831083
77.726,-6.591897,9.033341,-1.464866
77.727,-6.347753,9.521629,0.1220722
77.72825,-5.493248,8.789197,-0.1220722
77.7295,-5.493248,8.178836,-0.4882887
77.73075,-5.493248,8.545053,-1.342794
77.732,-5.859465,8.667125,-1.70901
77.733,-6.103609,8.545053,-1.953155
77.73425,-6.347753,9.277485,-1.464866
77.7355,-4.882887,8.545053,-1.831083
77.73675,-5.371176,8.300908,-1.220722
77.738,-5.981536,8.789197,-1.220722
77.73925,-5.981536,8.42298,-1.342794
77.7405,-5.737392,8.789197,-1.220722
77.74175,-4.760815,7.32433,-0.8545052
77.743,-6.347753,7.812619,-1.342794
77.744,-5.859465,7.934691,-1.342794
77.74525,-5.61532,8.789197,-1.342794
77.7465,-5.127031,7.812619,-1.220722
77.74775,-5.371176,9.155413,-1.342794
77.749,-6.836042,9.643702,-1.464866
77.75025,-6.469825,9.277485,-1.831083
77.7515,-5.493248,9.033341,-1.831083
77.75275,-4.760815,8.178836,-2.319371
77.754,-5.61532,8.789197,-1.831083
77.75525,-4.150454,8.789197,-0.4882887
77.7565,-5.004959,8.42298,-1.09865
77.75775,-5.249104,8.667125,-1.09865
77.759,-4.638742,8.545053,-0.9765774
77.76,-5.371176,8.911269,-1.220722
77.76125,-5.859465,8.42298,-1.09865
77.7625,-5.371176,8.911269,-1.464866
77.76375,-5.249104,8.545053,-1.70901
77.765,-5.493248,7.446403,-1.464866
77.766,-5.981536,7.446403,-1.464866
77.76725,-5.004959,8.667125,-0.9765774
77.7685,-5.127031,8.300908,-0.8545052
77.76975,-5.61532,8.545053,-1.464866
77.771,-6.347753,8.056764,-1.464866
77.772,-5.127031,8.056764,-1.464866
77.77325,-4.760815,9.033341,-3.295949
77.7745,-5.61532,9.033341,-2.075227
77.77575,-6.469825,8.300908,-0.9765774
77.777,-5.859465,8.300908,-1.342794
77.77825,-5.127031,7.32433,-0.2441444
77.7795,-6.103609,7.934691,-0.4882887
77.78075,-6.469825,8.911269,-1.831083
77.782,-5.859465,8.667125,-1.220722
77.783,-5.371176,8.667125,-1.342794
77.78425,-5.737392,8.178836,-2.563516
77.7855,-5.981536,8.545053,-1.220722
77.78675,-6.591897,8.545053,-0.8545052
77.788,-6.469825,8.056764,-1.953155
77.78925,-5.859465,7.690547,-2.319371
77.7905,-6.958114,8.789197,-1.953155
77.79175,-5.371176,8.056764,-2.075227
77.793,-6.347753,9.033341,-1.831083
77.794,-6.225681,9.033341,-2.319371
77.79525,-6.347753,9.277485,-2.197299
77.7965,-6.71397,9.399557,-2.075227
77.79775,-7.080186,9.033341,-2.075227
77.799,-6.103609,8.911269,-2.319371
77.80025,-6.103609,9.033341,-1.831083
77.8015,-6.103609,8.300908,-1.342794
77.80275,-5.981536,8.300908,-1.220722
77.804,-6.836042,9.887846,-1.464866
77.805,-7.202258,9.399557,-0.7324331
77.80625,-6.591897,8.667125,-1.464866
77.8075,-6.225681,8.178836,-1.831083
77.80875,-7.202258,8.545053,-1.464866
77.81,-6.591897,9.155413,-1.464866
77.811,-6.469825,9.277485,-1.953155
77.81225,-6.958114,9.521629,-2.075227
77.8135,-7.202258,9.033341,-2.441443
77.81475,-5.61532,8.42298,-2.80766
77.816,-7.202258,8.911269,-2.685588
77.81725,-7.202258,8.667125,-1.953155
77.8185,-6.591897,9.643702,-2.441443
77.81975,-6.591897,9.155413,-1.953155
77.821,-6.71397,9.155413,-2.441443
77.822,-6.469825,8.545053,-1.464866
77.82325,-6.469825,9.033341,-1.70901
77.8245,-6.71397,9.521629,-1.586938
77.82575,-6.469825,9.155413,-1.464866
77.827,-6.347753,9.155413,-1.09865
77.82825,-5.249104,8.911269,-1.831083
77.8295,-6.225681,10.13199,-1.70901
77.83075,-6.958114,10.49821,-2.075227
77.832,-6.591897,8.42298,-2.075227
77.833,-5.859465,7.934691,-1.70901
77.83425,-7.202258,9.033341,-1.342794
77.8355,-6.836042,9.643702,-1.464866
77.83675,-5.981536,7.690547,-1.831083
77.838,-6.347753,8.178836,-1.09865
77.83925,-6.591897,8.911269,-2.80766
77.8405,-7.32433,9.887846,-2.685588
77.84175,-5.737392,8.545053,-2.197299
