Time [s],X [g],Y [g],Z [g]
165.951,0.5859464,-1.367208,0
165.952,0.9765774,0.1953155,-0.5859464
165.953,-0.1953155,0.5859464,0.1953155
165.954,-1.562524,1.171893,-0.390631
165.955,2.343786,1.367208,0.7812619
165.956,-0.1953155,-0.390631,0.7812619
165.957,0.9765774,1.171893,0.7812619
165.958,1.367208,-0.9765774,2.343786
165.959,0,0.7812619,-1.367208
165.96,-0.5859464,1.562524,0
165.961,-0.9765774,-1.171893,0.1953155
165.962,0.9765774,-0.390631,0
165.963,1.171893,1.757839,-0.1953155
165.964,0.390631,0,-0.390631
165.965,-0.5859464,0.390631,0.390631
165.966,0.1953155,0.1953155,0.5859464
165.967,1.953155,-0.1953155,-0.5859464
165.968,-0.1953155,0.1953155,0.390631
165.969,0,-0.1953155,0.9765774
165.97,0.390631,1.171893,-0.9765774
165.971,0.390631,0.7812619,1.562524
165.972,0.9765774,0.9765774,0.7812619
165.973,-0.1953155,0,-0.390631
165.974,0.1953155,0.390631,0.1953155
165.975,-0.390631,-0.390631,0
165.976,2.343786,-0.1953155,0
165.977,-0.1953155,1.367208,-0.7812619
165.978,0.1953155,1.953155,0
165.979,0.1953155,-0.1953155,0.5859464
165.98,-0.1953155,-0.9765774,1.367208
165.981,0.390631,0.1953155,0.5859464
165.982,0.7812619,0.390631,1.171893
165.983,0,0.7812619,0.390631
165.984,-0.1953155,-1.367208,-0.5859464
165.985,-1.367208,1.562524,0.7812619
165.986,0.7812619,0,-0.390631
165.987,0.5859464,-0.1953155,0
165.988,1.367208,1.757839,-0.7812619
165.989,0.1953155,1.171893,0.1953155
165.99,-0.390631,0,-0.5859464
165.991,1.367208,0,1.367208
165.992,0.9765774,0.390631,-1.171893
165.993,-0.390631,0.9765774,0.390631
165.994,-0.1953155,1.757839,0
165.995,1.757839,-1.171893,1.171893
165.996,0,0.9765774,1.367208
165.997,0,0.390631,0.9765774
165.998,-0.9765774,-1.171893,0.1953155
165.999,0,-0.5859464,0.5859464
166,0.5859464,0.7812619,0.1953155
166.001,0.390631,0.390631,0.390631
166.002,0.390631,-0.1953155,-0.1953155
166.003,0,-0.1953155,-0.5859464
166.004,0.5859464,0.5859464,1.367208
166.005,0.5859464,-0.1953155,0.5859464
166.006,-0.1953155,0.7812619,-0.5859464
166.007,1.367208,-0.9765774,1.171893
166.008,0.390631,1.757839,0.390631
166.009,0.7812619,0.7812619,0.9765774
166.01,0.390631,0.1953155,1.171893
166.011,-1.562524,0,-0.9765774
166.012,0.9765774,0.5859464,0
166.013,0.7812619,0.9765774,0
166.014,-0.1953155,0.390631,-0.5859464
166.015,0.7812619,0,0.9765774
166.016,-0.7812619,-0.1953155,0.1953155
166.017,0,0.390631,-0.1953155
166.018,0.390631,0,0.7812619
166.019,0.5859464,-0.5859464,0
166.02,0.7812619,0,-0.9765774
166.021,-0.1953155,-0.390631,0.9765774
166.022,-0.1953155,0.9765774,1.367208
166.023,1.367208,-0.1953155,0.5859464
166.024,0.7812619,1.953155,-0.390631
166.025,-0.1953155,-0.5859464,0.5859464
166.026,0.390631,0.1953155,0.390631
166.027,0.9765774,-0.390631,1.562524
166.028,0.7812619,1.367208,1.757839
166.029,0.390631,-0.9765774,0
166.03,0.390631,0.9765774,0.1953155
166.031,-0.1953155,0.7812619,-0.390631
166.032,-0.1953155,-0.1953155,1.367208
166.033,0,1.562524,-0.7812619
166.034,1.171893,-0.1953155,1.562524
166.035,0.390631,0,-0.1953155
166.036,0.1953155,-2.539101,0
166.037,0,0.5859464,1.367208
166.038,-0.5859464,0.390631,0.1953155
166.039,-0.390631,-0.5859464,0.1953155
166.04,0.1953155,0,-0.5859464
166.041,0.1953155,0.7812619,0.390631
166.042,1.562524,1.367208,0.7812619
166.043,-0.390631,0.5859464,0
166.044,1.367208,-0.390631,0.9765774
166.045,0.390631,0.390631,-0.390631
166.046,-0.9765774,0.1953155,0
166.047,-0.7812619,2.14847,-0.1953155
166.048,-0.390631,1.562524,1.171893
166.049,-0.7812619,-0.5859464,-0.9765774
166.05,0.1953155,0.5859464,0
166.051,1.171893,0.9765774,0.5859464
166.052,0.390631,0.390631,1.171893
166.053,0,0.390631,-0.5859464
166.054,0.5859464,1.171893,0.5859464
166.055,0.9765774,1.171893,1.367208
166.056,0.7812619,-1.171893,0.7812619
166.057,0.390631,-1.171893,-0.1953155
166.058,-0.5859464,0.7812619,0.1953155
166.059,0.5859464,1.171893,1.367208
166.06,2.14847,-0.5859464,0.390631
166.061,0.1953155,-0.1953155,1.367208
166.062,0.7812619,1.562524,-1.562524
166.063,-0.1953155,-0.390631,-0.5859464
166.064,-0.1953155,1.171893,-0.1953155
166.065,0,-0.1953155,-0.390631
166.066,1.757839,0.7812619,0.5859464
166.067,0.9765774,-0.390631,1.953155
166.068,-0.1953155,1.562524,-0.5859464
166.069,-0.1953155,-0.1953155,0
166.07,-0.7812619,-0.7812619,0.1953155
166.071,1.367208,0.390631,0.7812619
