Time [s],X [°/s],Y [°/s],Z [°/s]
165.95175,10.25406,2.80766,-30.64012
165.953,11.23064,1.70901,-29.90768
165.954,10.49821,2.319371,-29.05318
165.95525,10.13199,2.075227,-29.66354
165.9565,10.00992,3.173877,-30.02975
165.95775,11.23064,2.441443,-30.02975
165.959,11.35271,2.685588,-30.2739
165.96025,11.10857,2.80766,-30.02975
165.9615,10.49821,3.662165,-29.78561
165.96275,10.49821,4.272526,-29.41939
165.964,10.13199,3.90631,-28.9311
165.965,10.62028,4.272526,-29.05318
165.96625,10.86442,4.638742,-28.80903
165.9675,11.71893,4.760815,-28.19867
165.96875,11.71893,4.882887,-28.80903
165.97,10.62028,5.004959,-28.68696
165.97125,9.887846,5.127031,-28.9311
165.9725,11.59686,5.61532,-27.34417
165.97375,10.86442,5.737392,-27.58831
165.975,12.20722,5.249104,-27.2221
165.976,11.71893,5.61532,-26.00137
165.97725,11.23064,6.591897,-24.41443
165.9785,10.74235,5.493248,-26.61173
165.97975,10.9865,6.103609,-25.75723
165.981,11.35271,7.446403,-25.8793
165.98225,11.10857,6.836042,-24.41443
165.9835,11.35271,6.469825,-24.53651
165.98475,11.841,7.080186,-25.0248
165.986,10.00992,9.643702,-25.14687
165.987,11.10857,8.300908,-23.07164
165.98825,10.86442,6.591897,-24.04822
165.9895,11.10857,7.690547,-24.29236
165.99075,10.37613,9.277485,-23.92615
165.992,9.765774,9.521629,-23.19371
165.993,11.10857,9.643702,-23.31579
165.99425,10.37613,9.887846,-24.41443
165.9955,10.74235,10.37613,-24.41443
165.99675,11.96307,10.00992,-23.55993
165.998,11.841,9.277485,-22.8275
165.99925,11.35271,9.277485,-23.19371
166.0005,10.9865,9.887846,-24.17029
166.00175,10.62028,9.643702,-24.04822
166.003,11.96307,8.789197,-22.8275
166.004,11.59686,9.399557,-23.43786
166.00525,12.20722,9.521629,-23.19371
166.0065,11.71893,10.62028,-22.21714
166.00775,11.47478,9.887846,-23.31579
166.009,11.35271,9.643702,-24.41443
166.01025,11.47478,9.399557,-22.70543
166.0115,11.71893,9.643702,-22.8275
166.01275,12.69551,9.765774,-22.8275
166.014,12.32929,10.37613,-22.70543
166.015,12.32929,9.521629,-22.09506
166.01625,12.69551,9.765774,-23.07164
166.0175,11.841,10.37613,-23.80407
166.01875,12.81758,9.521629,-23.55993
166.02,12.81758,10.49821,-23.80407
166.02125,12.57343,10.86442,-22.70543
166.0225,12.81758,10.25406,-22.58335
166.02375,11.841,10.62028,-23.19371
166.025,13.79416,9.155413,-22.70543
166.026,12.81758,9.155413,-22.21714
166.02725,13.18379,9.521629,-23.07164
166.0285,13.79416,10.13199,-22.21714
166.02975,14.52659,8.178836,-22.21714
166.031,14.28244,8.667125,-22.46128
166.032,14.0383,8.178836,-22.94957
166.03325,13.30587,9.277485,-22.8275
166.0345,14.16037,8.42298,-22.94957
166.03575,13.91623,8.178836,-22.70543
166.037,13.18379,8.911269,-22.21714
166.03825,13.55001,7.934691,-22.46128
166.0395,14.52659,8.545053,-22.70543
166.04075,13.42794,8.911269,-24.41443
166.042,14.28244,8.545053,-24.53651
166.043,14.89281,7.446403,-24.04822
166.04425,15.74731,6.958114,-23.92615
166.0455,13.91623,7.812619,-23.55993
166.04675,13.91623,8.300908,-24.04822
166.048,15.01488,6.225681,-24.78065
166.04925,14.77073,6.836042,-24.90272
166.0505,15.01488,6.836042,-25.26894
166.05175,15.74731,5.371176,-25.39101
166.053,14.40452,5.493248,-25.39101
166.054,14.89281,5.249104,-25.39101
166.05525,15.86938,5.737392,-26.36759
166.0565,16.35767,4.638742,-27.10002
166.05775,16.60182,5.737392,-26.48966
166.059,15.01488,6.958114,-27.10002
166.06025,15.99146,6.71397,-26.97795
166.0615,15.86938,5.249104,-27.10002
166.06275,16.47974,5.004959,-27.10002
166.064,15.99146,6.469825,-27.46624
166.065,15.86938,6.347753,-28.44282
166.06625,15.62524,5.981536,-28.0766
166.0675,15.99146,6.71397,-27.58831
166.06875,15.13695,6.225681,-26.85588
166.07,15.13695,6.958114,-26.85588
166.071,16.96803,6.103609,-27.71038
166.07225,17.57839,5.371176,-28.32075
166.0735,16.35767,5.981536,-27.34417
166.07475,16.60182,6.103609,-28.0766
166.076,16.35767,6.103609,-27.10002
166.07725,18.18876,5.61532,-27.34417
166.0785,16.47974,6.225681,-27.95453
166.07975,17.33425,6.469825,-27.83246
166.081,15.13695,8.300908,-27.71038
166.082,17.21218,7.446403,-27.71038
