Time [s],X [g],Y [g],Z [g]
216.72,0.1953155,1.367208,0.1953155
216.721,-0.9765774,0.7812619,1.171893
216.722,0.9765774,0.5859464,0
216.723,0.390631,0.7812619,0.9765774
216.724,1.171893,-0.1953155,1.562524
216.725,-0.1953155,-0.5859464,-0.390631
216.726,0.9765774,0.9765774,0.9765774
216.727,0.1953155,-0.1953155,0
216.728,1.367208,-1.562524,1.171893
216.729,0,1.562524,2.539101
216.73,0,0.390631,0.5859464
216.731,0.390631,-0.1953155,-1.562524
216.732,0,0.1953155,0.5859464
216.733,-1.367208,0.390631,0.1953155
216.734,0.9765774,0.9765774,0
216.735,-0.1953155,-0.390631,-0.5859464
216.736,2.343786,0.390631,0.390631
216.737,-0.390631,0.390631,0.7812619
216.738,0.5859464,0.5859464,0.1953155
216.739,-0.7812619,-0.5859464,1.367208
216.74,0.390631,-0.1953155,-0.5859464
216.741,-0.7812619,1.562524,0.5859464
216.742,-0.390631,0.7812619,-1.367208
216.743,0,1.171893,0
216.744,0.7812619,0.1953155,-0.9765774
216.745,0.5859464,0,-0.7812619
216.746,0.5859464,0.1953155,0.9765774
216.747,-0.5859464,0.390631,0.5859464
216.748,0.390631,-0.1953155,0.1953155
216.749,1.367208,0,0.5859464
216.75,1.953155,-0.390631,0.390631
216.751,0,0.9765774,1.367208
216.752,0.390631,0.9765774,0
216.753,0.5859464,1.953155,-0.7812619
216.754,0.390631,0,-0.1953155
216.755,0.390631,0,0.9765774
216.756,0.390631,1.367208,-0.1953155
216.757,0.390631,1.367208,0.7812619
216.758,0.5859464,0.1953155,-0.1953155
216.759,-0.390631,0.7812619,-1.171893
216.76,-1.171893,-0.5859464,0
216.761,0.7812619,0.390631,0.1953155
216.762,0.7812619,0.5859464,0.390631
216.763,0.1953155,0,0.1953155
216.764,-0.9765774,-0.1953155,0.1953155
216.765,0.9765774,0.1953155,1.367208
216.766,0.5859464,-0.1953155,0.390631
216.767,0.5859464,0.390631,0.7812619
216.768,1.562524,0.9765774,0
216.769,-0.7812619,0.7812619,0.7812619
216.77,0.7812619,0.9765774,-0.9765774
216.771,-0.5859464,0.9765774,-0.7812619
216.772,-0.7812619,0.7812619,0.390631
216.773,-0.5859464,1.953155,-0.1953155
216.774,0.1953155,-0.1953155,-0.5859464
216.775,0.5859464,0.5859464,1.367208
216.776,0.9765774,-0.1953155,0.390631
216.777,-0.1953155,0.7812619,0.1953155
216.778,1.171893,0.390631,0
216.779,0,0.7812619,-0.1953155
216.78,0.1953155,1.367208,1.367208
216.781,-0.390631,0,0.390631
216.782,0.7812619,-0.390631,-2.539101
216.783,-0.9765774,0.9765774,1.562524
216.784,0.5859464,0.5859464,-0.1953155
216.785,0.7812619,-0.390631,1.757839
216.786,0.5859464,0.390631,1.562524
216.787,1.367208,-0.1953155,0
216.788,0.9765774,-0.9765774,-0.390631
216.789,0,0,0.9765774
216.79,-0.9765774,-0.390631,-1.171893
216.791,1.171893,0.5859464,0
216.792,1.171893,0.9765774,-0.1953155
216.793,0,0.390631,0.7812619
216.794,-0.9765774,-0.7812619,0.1953155
216.795,0.5859464,-0.390631,-1.171893
216.796,-0.390631,0.9765774,2.539101
216.797,0.7812619,-0.9765774,0.9765774
216.798,0.390631,0.5859464,0.5859464
216.799,1.367208,0.390631,0.1953155
216.8,1.367208,-1.953155,-1.367208
216.801,-0.7812619,-0.1953155,-1.367208
216.802,1.562524,0.1953155,1.757839
216.803,0,1.171893,0.1953155
216.804,0.1953155,1.757839,1.171893
216.805,-0.5859464,1.171893,1.171893
216.806,0,0.5859464,-0.9765774
216.807,1.367208,-1.171893,0.5859464
216.808,-0.9765774,1.171893,0.5859464
