Time [s],X [°/s],Y [°/s],Z [°/s]
216.72,-9.643702,41.74868,18.4329
216.72125,-8.178836,41.74868,22.21714
216.7225,-5.859465,42.48112,25.14687
216.72375,-5.004959,41.87075,27.2221
216.725,-1.464866,38.45274,28.68696
216.72625,1.70901,32.95949,28.9311
216.7275,3.540093,26.97795,30.15183
216.72875,8.42298,19.53155,31.98291
216.73,11.71893,14.40452,34.42435
216.731,14.77073,9.399557,34.30228
216.73225,18.67704,6.103609,32.95949
216.7335,21.36263,5.61532,30.15183
216.73475,23.80407,7.934691,29.54147
216.736,25.8793,11.841,31.73877
216.73725,23.682,19.2874,35.88922
216.7385,22.94957,25.8793,36.98787
216.73975,20.26398,32.71534,37.35408
216.741,16.35767,39.0631,36.37751
216.742,14.0383,43.82391,33.81399
216.74325,12.81758,47.48608,31.37255
216.7445,10.25406,49.5613,30.39597
216.74575,9.521629,49.68338,30.2739
216.747,7.812619,48.09644,30.88426
216.74825,7.32433,46.5095,32.4712
216.7495,8.42298,42.60319,34.42435
216.75075,8.545053,40.40589,36.98787
216.752,9.887846,36.37751,40.65004
216.753,11.96307,32.22705,45.53292
216.75425,13.30587,29.05318,48.46265
216.7555,16.11353,26.12345,50.78202
216.75675,16.35767,24.41443,51.7586
216.758,17.09011,23.92615,53.58968
216.759,18.4329,24.90272,54.68834
216.76025,19.77569,25.51308,55.54284
216.7615,19.04326,27.2221,53.9559
216.76275,20.99641,29.29732,52.00275
216.764,21.11849,32.95949,50.53788
216.76525,22.8275,34.54642,49.5613
216.7665,22.8275,37.10994,48.82887
216.76775,23.682,39.30724,47.85229
216.769,24.90272,40.16175,46.38743
216.77,25.0248,40.03967,45.16671
216.77125,24.17029,41.38247,43.94598
216.7725,23.31579,41.38247,42.72526
216.77375,24.53651,38.94102,40.65004
216.775,24.65858,39.0631,39.67346
216.77625,24.53651,39.0631,37.96445
216.7775,25.14687,38.20859,35.40093
216.77875,24.78065,39.18517,33.93607
216.78,23.80407,39.30724,32.22705
216.781,24.29236,38.33066,30.51804
216.78225,23.55993,40.40589,28.80903
216.7835,21.85092,41.62661,26.97795
216.78475,22.21714,42.1149,24.29236
216.786,22.94957,42.23697,23.07164
216.78725,21.36263,44.67842,22.21714
216.7885,20.99641,45.89914,21.97299
216.78975,20.38605,46.38743,19.65362
216.791,19.53155,47.24193,18.06668
216.792,19.77569,49.43923,16.2356
216.79325,18.31083,51.88068,15.25902
216.7945,18.31083,52.12482,14.28244
216.79575,19.77569,51.51446,13.30587
216.797,18.4329,52.73518,12.32929
216.79825,17.82254,54.56626,10.49821
216.7995,18.55497,54.32212,9.155413
216.80075,18.4329,53.9559,7.32433
216.802,15.74731,54.56626,7.080186
216.803,16.11353,54.44419,6.591897
216.80425,17.70047,54.44419,5.371176
216.8055,17.33425,55.66491,6.347753
216.80675,16.11353,55.66491,4.760815
216.808,15.50317,56.1532,3.173877
216.809,14.77073,57.37392,2.319371
216.81025,15.25902,58.10635,3.051804
216.8115,14.0383,58.83879,1.831083
216.81275,15.38109,58.71672,1.342794
216.814,14.16037,60.42573,2.075227
216.81525,14.0383,61.64645,1.220722
216.8165,13.06172,63.5996,-0.6103609
216.81775,12.45136,64.69825,-0.9765774
216.819,12.93965,64.9424,-0.9765774
216.82,12.69551,66.65141,-1.953155
216.82125,11.96307,69.94736,-2.563516
216.8225,12.57343,69.45907,-3.051804
216.82375,12.32929,70.80186,-4.150454
216.825,11.71893,72.3888,-4.150454
216.82625,12.81758,72.87709,-4.638742
216.8275,13.55001,74.83025,-4.882887
216.82875,12.69551,75.68475,-4.516671
216.83,12.69551,77.14961,-5.127031
216.831,13.79416,77.88205,-5.004959
216.83225,13.30587,78.85863,-4.150454
216.8335,13.55001,78.85863,-5.004959
216.83475,12.08514,80.6897,-4.760815
216.836,12.57343,82.39872,-3.662165
216.83725,11.96307,83.61944,-2.563516
216.8385,12.69551,83.86359,-2.685588
216.83975,12.81758,84.84016,-3.418021
216.841,12.81758,85.81674,-2.441443
216.842,12.69551,86.18295,-1.831083
216.84325,12.93965,85.81674,-1.831083
216.8445,11.10857,89.84512,-1.220722
216.84575,11.841,89.96719,-0.4882887
216.847,10.37613,90.57755,-0.4882887
216.848,11.23064,90.33341,0.1220722
216.84925,10.62028,91.79828,-0.1220722
216.8505,10.62028,92.28657,-0.2441444
216.85175,10.37613,93.50729,0
216.853,9.887846,93.50729,0.4882887
216.85425,9.521629,95.70458,0.9765774
216.8555,10.00992,96.19287,0.6103609
216.85675,10.37613,97.16945,0.3662165
216.858,10.13199,98.39017,0.1220722
216.859,8.178836,99.97711,0.1220722
216.86025,8.911269,100.4654,-0.4882887
216.8615,9.033341,101.1978,0.7324331
216.86275,8.789197,102.4186,2.319371
