Time [s],X [g],Y [g],Z [g]
22.567,-0.390631,0,-0.390631
22.568,1.171893,-0.5859464,0.390631
22.569,-2.14847,-0.1953155,0.9765774
22.57,0.390631,0,1.562524
22.571,1.367208,-0.390631,0.1953155
22.572,1.367208,0,-0.1953155
22.573,0.5859464,-0.390631,1.367208
22.574,0.5859464,0.5859464,0.1953155
22.575,2.14847,-0.1953155,0.390631
22.576,0.390631,-0.390631,1.757839
22.577,1.562524,0.7812619,0
22.578,-0.390631,-0.1953155,-0.1953155
22.579,-0.1953155,0.390631,0.9765774
22.58,0.1953155,0.7812619,0.390631
22.581,-1.953155,-0.390631,0.390631
22.582,0.9765774,-0.5859464,-0.9765774
22.583,0.390631,-0.1953155,0.1953155
22.584,1.171893,0,0.9765774
22.585,0,-0.7812619,-0.5859464
22.586,0.390631,1.171893,-1.367208
22.587,-1.562524,-0.1953155,-0.390631
22.588,1.562524,0,-1.171893
22.589,-0.1953155,-0.390631,0
22.59,0.9765774,-0.390631,1.562524
22.591,0.7812619,0.7812619,-1.171893
22.592,0.390631,-0.1953155,-0.390631
22.593,0.390631,0.5859464,-0.5859464
22.594,-0.9765774,-1.171893,-0.390631
22.595,0.9765774,-0.390631,-0.7812619
22.596,0.9765774,0,1.367208
22.597,-0.5859464,1.171893,0.1953155
22.598,1.757839,0.5859464,0.390631
22.599,-1.171893,1.171893,0.5859464
22.6,1.171893,0,-0.5859464
22.601,-0.9765774,1.367208,0.1953155
22.602,0.9765774,0.5859464,0.1953155
22.603,-0.5859464,-0.1953155,0.1953155
22.604,0.9765774,0.7812619,0
22.605,-0.5859464,0.1953155,0.5859464
22.606,1.171893,-0.1953155,-1.953155
22.607,-0.1953155,0,-0.390631
22.608,1.367208,1.367208,-0.390631
22.609,0.390631,-1.367208,-1.171893
22.61,1.171893,0.5859464,0.9765774
22.611,0,-0.390631,0.1953155
22.612,0,0.9765774,0
22.613,0.390631,0.390631,1.171893
22.614,0,0.5859464,0.1953155
22.615,-0.1953155,0,0.7812619
22.616,0.9765774,-0.7812619,0.7812619
22.617,-0.5859464,1.367208,0.7812619
22.618,-0.7812619,0,0.7812619
22.619,0.5859464,-0.1953155,0.9765774
22.62,0.7812619,0.390631,-0.7812619
22.621,-0.1953155,1.171893,0.9765774
22.622,1.367208,-1.562524,0.7812619
22.623,0.5859464,-1.171893,1.171893
22.624,-1.171893,-0.5859464,1.367208
22.625,1.367208,0.1953155,1.171893
22.626,1.367208,0.7812619,0.390631
22.627,0.1953155,1.171893,-0.9765774
22.628,0.5859464,1.562524,0.390631
22.629,-0.7812619,-0.1953155,0
22.63,0.5859464,0.1953155,-0.390631
22.631,0.7812619,-0.1953155,0
