Time [s],X [°/s],Y [°/s],Z [°/s]
22.56625,-12.69551,-19.04326,-19.2874
22.5675,-12.69551,-19.40948,-19.16533
22.56875,-13.55001,-19.2874,-19.53155
22.57,-13.30587,-18.92119,-19.53155
22.571,-12.93965,-19.04326,-20.75227
22.57225,-13.06172,-18.79911,-20.6302
22.5735,-12.57343,-18.31083,-20.99641
22.57475,-13.06172,-18.06668,-20.6302
22.576,-12.45136,-18.92119,-20.6302
22.57725,-12.20722,-19.16533,-20.99641
22.5785,-13.42794,-19.04326,-21.4847
22.57975,-13.30587,-17.33425,-21.85092
22.581,-12.57343,-15.25902,-23.55993
22.582,-11.841,-15.38109,-25.0248
22.58325,-12.45136,-15.13695,-25.14687
22.5845,-11.71893,-14.28244,-24.17029
22.58575,-11.35271,-13.67208,-23.92615
22.587,-10.74235,-14.28244,-23.55993
22.58825,-10.25406,-14.40452,-22.21714
22.5895,-10.25406,-14.64866,-20.50813
22.59075,-10.86442,-14.77073,-18.67704
22.592,-8.911269,-15.01488,-16.72389
22.593,-8.056764,-15.25902,-15.86938
22.59425,-8.911269,-13.91623,-14.89281
22.5955,-7.812619,-13.06172,-14.0383
22.59675,-7.080186,-14.0383,-11.841
22.598,-7.080186,-12.93965,-12.69551
22.599,-6.469825,-12.69551,-13.06172
22.60025,-5.61532,-13.42794,-13.30587
22.6015,-5.859465,-13.06172,-12.20722
22.60275,-4.394598,-12.57343,-12.20722
22.604,-3.662165,-12.08514,-12.08514
22.60525,-1.831083,-12.57343,-11.10857
22.6065,-0.4882887,-13.30587,-11.841
22.60775,-1.342794,-12.20722,-11.841
22.609,0.4882887,-11.841,-12.20722
22.61,0.6103609,-10.62028,-11.841
22.61125,1.342794,-10.37613,-12.08514
22.6125,1.953155,-9.399557,-12.20722
22.61375,2.441443,-9.399557,-12.69551
22.615,4.516671,-10.00992,-13.79416
22.61625,3.173877,-7.934691,-14.77073
22.6175,4.150454,-7.934691,-14.52659
22.61875,4.394598,-6.958114,-14.64866
22.62,5.249104,-6.347753,-13.55001
22.621,4.882887,-5.371176,-14.16037
22.62225,4.272526,-2.929732,-13.55001
22.6235,5.493248,-1.831083,-13.79416
22.62475,6.225681,-2.075227,-14.0383
22.626,6.225681,0.9765774,-13.79416
22.62725,7.812619,1.342794,-12.57343
22.6285,6.836042,2.319371,-12.45136
22.62975,6.469825,4.394598,-12.69551
22.631,6.469825,5.249104,-12.81758
22.632,7.690547,7.32433,-11.96307
22.63325,8.667125,8.300908,-11.71893
22.6345,9.033341,9.033341,-12.20722
22.63575,10.49821,10.62028,-10.9865
22.637,11.23064,12.45136,-11.35271
22.638,12.32929,14.89281,-10.86442
22.63925,13.55001,16.84596,-10.37613
22.6405,15.01488,16.84596,-10.13199
22.64175,15.01488,19.40948,-10.25406
22.643,18.06668,19.40948,-9.521629
22.64425,17.94461,21.4847,-8.056764
22.6455,19.04326,24.29236,-6.71397
22.64675,22.46128,25.14687,-6.347753
22.648,24.17029,26.73381,-5.737392
22.649,25.14687,28.80903,-5.249104
22.65025,26.12345,31.73877,-4.882887
22.6515,27.71038,32.59327,-3.173877
22.65275,29.29732,34.18021,-2.197299
22.654,30.2739,36.37751,-0.8545052
