Time [s],X [g],Y [g],Z [g]
510.741,0.390631,-0.390631,1.562524
510.742,0.9765774,-0.5859464,0.7812619
510.743,1.367208,0.9765774,-0.1953155
510.744,0.5859464,-1.171893,-0.5859464
510.745,0,-0.5859464,0
510.746,0.7812619,0.390631,0.1953155
510.747,-0.9765774,0.390631,-0.1953155
510.748,-0.1953155,-0.7812619,1.562524
510.749,1.171893,-0.5859464,0.9765774
510.75,-0.5859464,-0.390631,0.1953155
510.751,0.9765774,-1.171893,0.7812619
510.752,0.7812619,0,-0.7812619
510.753,0.9765774,0,0.7812619
510.754,-2.14847,-0.1953155,0.5859464
510.755,0.7812619,-0.5859464,0
510.756,0.9765774,-0.9765774,-0.5859464
510.757,1.171893,0,0.1953155
510.758,1.171893,-2.14847,-0.9765774
510.759,0.5859464,-2.343786,0.9765774
510.76,1.171893,0.390631,-0.390631
510.761,0.390631,0,0
510.762,0.390631,-0.5859464,0.390631
510.763,1.367208,-0.1953155,0.5859464
510.764,0.9765774,-0.7812619,-0.1953155
510.765,0.390631,-0.390631,1.757839
510.766,0.1953155,0.390631,0.7812619
510.767,-0.1953155,-1.171893,2.929732
510.768,1.562524,-1.367208,2.734417
510.769,2.343786,-0.1953155,-0.390631
510.77,0.7812619,-1.367208,-0.7812619
510.771,0.9765774,0.1953155,2.14847
510.772,0.5859464,-0.9765774,1.757839
510.773,1.953155,-1.953155,0.1953155
510.774,1.367208,0,-0.1953155
510.775,1.367208,-0.9765774,0.9765774
510.776,0.7812619,0.1953155,1.562524
510.777,0.7812619,0.5859464,0.9765774
510.778,1.367208,1.562524,0
510.779,0.5859464,2.539101,0.9765774
510.78,1.171893,0.7812619,0
510.781,1.171893,1.367208,0.1953155
510.782,0.9765774,0.9765774,0.1953155
510.783,0.9765774,-0.390631,2.734417
510.784,1.171893,0.1953155,0.5859464
510.785,0,0.5859464,1.171893
510.786,1.367208,1.562524,1.757839
510.787,0.5859464,0.390631,2.343786
510.788,0.7812619,0.9765774,-0.5859464
510.789,3.515679,1.171893,1.367208
510.79,0.7812619,-0.390631,0.9765774
510.791,0.9765774,-0.390631,-0.1953155
510.792,-0.9765774,0.7812619,1.953155
510.793,0.9765774,0.5859464,2.14847
510.794,0.5859464,-0.7812619,0.9765774
510.795,0.7812619,1.367208,1.562524
510.796,-1.562524,0,-0.390631
510.797,-0.5859464,0.5859464,2.343786
510.798,0.9765774,0,-0.390631
510.799,1.562524,-0.5859464,0.7812619
510.8,0.5859464,0.9765774,0.390631
510.801,0.390631,0.5859464,1.757839
510.802,0.5859464,1.171893,-0.390631
510.803,0.390631,1.953155,-1.171893
510.804,0.1953155,0.7812619,1.562524
510.805,0.5859464,-0.9765774,1.171893
510.806,0.7812619,0,0.9765774
510.807,0,0,-1.367208
510.808,-0.9765774,0.9765774,0.9765774
510.809,0,-1.367208,-0.1953155
510.81,1.171893,1.367208,0.5859464
510.811,1.367208,0.1953155,1.367208
510.812,-0.5859464,-0.390631,0.390631
510.813,-1.171893,-0.1953155,0.5859464
510.814,1.367208,0.390631,0.1953155
510.815,0.9765774,1.757839,-0.390631
510.816,1.171893,0.9765774,1.367208
510.817,0.7812619,1.367208,0.1953155
510.818,-0.1953155,0,-0.5859464
510.819,-0.9765774,1.367208,-0.1953155
510.82,0.390631,-0.9765774,1.562524
510.821,0.5859464,0.390631,-0.1953155
510.822,-0.7812619,1.367208,0
510.823,1.953155,0.9765774,0.9765774
510.824,-0.5859464,0,0.390631
510.825,-0.5859464,0.5859464,0.9765774
510.826,1.171893,0.5859464,0.7812619
510.827,0,0.7812619,1.171893
510.828,-1.562524,0.390631,-0.5859464
510.829,1.953155,-0.5859464,-0.390631
510.83,0.7812619,0.9765774,0
510.831,-0.9765774,1.171893,1.953155
510.832,0.5859464,0.7812619,0.7812619
510.833,0.1953155,-0.390631,0.7812619
510.834,1.171893,-0.1953155,0
510.835,0,0.1953155,0.9765774
510.836,0.1953155,-0.390631,0.9765774
510.837,0.5859464,0.390631,0
510.838,-0.390631,0,0.7812619
510.839,0.1953155,0.1953155,0
510.84,1.562524,-0.1953155,-0.1953155
510.841,0.1953155,1.171893,0.7812619
510.842,0,-1.171893,-0.390631
510.843,-0.1953155,1.367208,1.367208
510.844,0.1953155,-1.953155,0.1953155
510.845,-0.7812619,0.5859464,1.171893
510.846,1.367208,0.5859464,1.171893
510.847,0,-0.1953155,-0.1953155
510.848,0,0,-1.367208
510.849,0.5859464,1.562524,-0.1953155
510.85,0.390631,0.7812619,0.9765774
510.851,-0.7812619,1.367208,0.390631
510.852,0.5859464,-0.1953155,0.1953155
510.853,0.7812619,-0.5859464,1.953155
510.854,-0.1953155,1.562524,0.1953155
510.855,1.757839,0.390631,1.562524
510.856,0.390631,0.7812619,0.5859464
510.857,1.562524,1.367208,0.5859464
510.858,-1.171893,-0.9765774,0.7812619
510.859,-0.5859464,-0.390631,-0.390631
510.86,0.1953155,-1.171893,1.171893
510.861,0,0.390631,-0.1953155
510.862,0.390631,1.171893,0.5859464
510.863,-1.171893,0.390631,-0.9765774
510.864,1.171893,1.367208,1.171893
510.865,0,0.390631,1.171893
510.866,-0.1953155,0.7812619,1.171893
510.867,1.367208,0,-0.7812619
510.868,0.5859464,0.390631,-0.9765774
510.869,0.9765774,0.7812619,-0.5859464
510.87,-0.390631,0.9765774,-0.390631
510.871,-1.367208,0.390631,0.7812619
510.872,1.367208,0.7812619,-1.171893
510.873,1.367208,0.5859464,-0.7812619
510.874,0.5859464,-0.390631,0.1953155
510.875,1.367208,-1.171893,0.9765774
510.876,-0.9765774,-0.390631,-0.1953155
510.877,0.390631,-0.9765774,1.562524
510.878,1.171893,1.562524,-0.5859464
510.879,-0.1953155,1.171893,-0.1953155
510.88,-0.7812619,1.757839,0.7812619
510.881,-0.1953155,0.1953155,-0.7812619
510.882,0.9765774,0.390631,0.7812619
510.883,1.367208,0.1953155,-0.390631
510.884,0.390631,-0.1953155,0.5859464
510.885,-0.1953155,-0.390631,0.9765774
510.886,0.1953155,-0.7812619,1.171893
510.887,-0.7812619,1.171893,1.562524
510.888,0.5859464,0.390631,1.171893
510.889,-1.171893,1.171893,0.9765774
510.89,0,0.5859464,1.367208
510.891,0.390631,0.7812619,0.1953155
510.892,0.390631,-0.390631,-1.367208
510.893,0.7812619,0.1953155,0.1953155
510.894,1.171893,0.5859464,-0.1953155
510.895,-0.7812619,1.171893,0.5859464
510.896,0.7812619,0.390631,1.367208
510.897,1.171893,-0.5859464,-0.5859464
510.898,-0.1953155,-0.9765774,2.14847
510.899,0.5859464,-0.1953155,0.390631
510.9,0,0.5859464,0.7812619
510.901,0.7812619,0.5859464,1.562524
510.902,0.5859464,1.953155,0.5859464
510.903,0.1953155,0.9765774,1.953155
510.904,0.7812619,0.7812619,0.9765774
510.905,-0.5859464,-0.5859464,1.367208
510.906,1.171893,-0.1953155,-0.390631
510.907,0.9765774,-0.1953155,1.171893
510.908,0.5859464,-0.1953155,0.5859464
510.909,0.7812619,-0.9765774,0.9765774
510.91,0.7812619,0.1953155,0.7812619
510.911,-0.1953155,0.1953155,0.5859464
510.912,-0.390631,1.171893,-0.390631
510.913,0.5859464,-0.5859464,-1.171893
510.914,0.7812619,1.367208,0.390631
510.915,0.1953155,-1.171893,0.9765774
510.916,0.1953155,-0.1953155,-0.390631
510.917,0.390631,0.9765774,0.5859464
510.918,-0.1953155,0.7812619,0.9765774
510.919,1.367208,0.7812619,1.367208
510.92,0.390631,1.171893,1.171893
510.921,0.5859464,0.5859464,2.929732
510.922,0.5859464,0.7812619,0.7812619
510.923,-0.7812619,0,-0.390631
510.924,0.5859464,0.5859464,0.7812619
510.925,0.390631,-0.7812619,1.562524
510.926,-1.367208,0.5859464,0.7812619
510.927,-0.5859464,0.7812619,0.1953155
510.928,0.7812619,0.1953155,-0.7812619
510.929,-0.1953155,1.171893,1.171893
510.93,0.390631,-0.1953155,-0.390631
510.931,0.7812619,1.171893,-0.390631
510.932,-0.5859464,0,0.390631
510.933,0.7812619,-0.390631,0.390631
510.934,-0.390631,0.1953155,-0.9765774
510.935,0.5859464,0.9765774,-0.1953155
510.936,0.7812619,0.390631,-0.390631
510.937,-0.390631,-2.14847,0.1953155
510.938,0,-1.367208,0.7812619
510.939,1.367208,1.171893,0
510.94,1.757839,0.5859464,0
510.941,0,0.5859464,1.757839
510.942,0.390631,0.9765774,0.5859464
510.943,-0.1953155,0.7812619,0
510.944,0,-0.390631,1.367208
510.945,0.5859464,0.5859464,2.14847
510.946,0.390631,-0.5859464,-0.390631
510.947,0.390631,0.5859464,0.390631
510.948,-0.5859464,0,1.562524
510.949,1.171893,0.1953155,0.5859464
510.95,0.7812619,-0.390631,-0.1953155
510.951,0.390631,0.5859464,0.9765774
510.952,0.390631,-1.367208,0.390631
510.953,-0.1953155,0.9765774,0.7812619
510.954,-0.5859464,0.390631,0.7812619
510.955,-0.5859464,0.9765774,-1.367208
510.956,0.9765774,-0.390631,0.9765774
510.957,0,0.5859464,0.7812619
510.958,0,-0.1953155,-1.562524
510.959,0,1.953155,-0.7812619
510.96,0,0.1953155,1.171893
510.961,0,1.562524,0
510.962,1.171893,-0.9765774,0.7812619
510.963,0.7812619,0.1953155,0.7812619
510.964,-0.390631,-1.171893,-0.5859464
510.965,-0.7812619,0.9765774,0.1953155
510.966,0.390631,1.171893,-1.171893
510.967,0.390631,-0.5859464,-0.1953155
510.968,-0.1953155,-0.390631,1.171893
510.969,-1.757839,0.5859464,0.1953155
510.97,-0.7812619,0,0.7812619
510.971,0.1953155,0.1953155,0.9765774
510.972,-0.9765774,-1.562524,-1.171893
510.973,1.367208,0.5859464,1.367208
510.974,0,0.1953155,0.1953155
510.975,0.1953155,0.9765774,-0.1953155
510.976,0.1953155,0.7812619,-0.1953155
510.977,-2.539101,1.953155,0.5859464
510.978,-1.367208,-0.5859464,0.1953155
510.979,0.1953155,0.9765774,0.5859464
510.98,0.5859464,-0.5859464,1.757839
510.981,0,1.562524,0.390631
510.982,0.1953155,1.367208,-0.1953155
510.983,1.367208,0.1953155,0.5859464
510.984,1.171893,-0.7812619,1.367208
510.985,0.7812619,-0.7812619,-1.171893
510.986,-1.757839,-0.7812619,0.1953155
510.987,0.5859464,0.390631,0.1953155
510.988,0.5859464,0.7812619,0.5859464
510.989,0.5859464,0.1953155,0.1953155
510.99,0.1953155,0.390631,2.14847
510.991,-0.1953155,-0.1953155,-0.1953155
510.992,0.5859464,1.757839,0.1953155
510.993,-0.1953155,-0.1953155,0.5859464
510.994,0.1953155,-1.367208,0.1953155
510.995,-0.1953155,0.390631,1.367208
510.996,0,0.1953155,0.7812619
510.997,-0.7812619,0.7812619,-0.1953155
510.998,0.1953155,-0.390631,0
510.999,-1.562524,0.9765774,0.390631
511,-0.5859464,0.390631,0.9765774
511.001,0.7812619,0.1953155,0
511.002,-0.1953155,1.367208,0.7812619
511.003,0.390631,-0.5859464,-0.1953155
511.004,-0.7812619,0.390631,-1.562524
511.005,0,1.562524,-0.1953155
511.006,0.1953155,-0.5859464,-0.390631
511.007,-0.9765774,0,0
511.008,0.5859464,1.171893,0.9765774
511.009,0.5859464,0.1953155,0.5859464
511.01,-0.390631,-0.7812619,2.343786
511.011,-0.7812619,0.1953155,0.7812619
511.012,0.7812619,-1.171893,-0.5859464
511.013,-1.367208,-0.390631,0.390631
511.014,0,0.390631,-1.367208
511.015,1.171893,-0.1953155,-0.7812619
511.016,0.1953155,0.1953155,0
511.017,-0.9765774,0,0.1953155
511.018,-0.390631,0.5859464,0
511.019,0.390631,-0.5859464,-0.7812619
511.02,-0.390631,-0.1953155,-0.7812619
511.021,0,-0.390631,-1.171893
511.022,1.562524,0,-0.5859464
511.023,-0.5859464,-0.9765774,0.1953155
511.024,0,0.390631,-0.7812619
511.025,0.5859464,1.562524,0.7812619
511.026,-0.9765774,0.5859464,0
511.027,0.1953155,0.5859464,-0.9765774
511.028,0.7812619,0.7812619,0.1953155
511.029,-1.171893,0.390631,-0.390631
511.03,0.7812619,-0.9765774,-2.14847
511.031,0.1953155,0.9765774,-0.9765774
511.032,0.1953155,-1.562524,0.7812619
511.033,1.367208,0.1953155,-0.390631
511.034,0,0.5859464,-0.7812619
511.035,0.390631,1.562524,-0.7812619
511.036,0.390631,0,-1.367208
511.037,0.5859464,0.9765774,-1.562524
511.038,-0.1953155,0.7812619,-0.9765774
511.039,0.390631,0,-0.390631
511.04,-0.1953155,0,-0.5859464
511.041,0.5859464,0.9765774,-1.953155
511.042,0.7812619,0.5859464,-0.5859464
511.043,-0.9765774,1.171893,0
511.044,0.7812619,-0.1953155,-2.539101
511.045,1.562524,-0.390631,0.390631
511.046,0.9765774,-0.5859464,0
511.047,-0.9765774,0.7812619,0
511.048,-0.390631,0.1953155,0.1953155
511.049,-0.1953155,-0.1953155,1.757839
511.05,0.5859464,2.14847,-0.390631
511.051,0.9765774,-1.171893,0.5859464
511.052,0.5859464,-0.1953155,0
511.053,-0.390631,0.390631,1.953155
511.054,1.757839,1.562524,0.1953155
511.055,-1.171893,-0.7812619,-1.757839
511.056,0.390631,-0.1953155,-1.562524
511.057,0,-0.1953155,0
511.058,0,0.390631,-0.5859464
511.059,0,0.9765774,0.5859464
511.06,-0.9765774,0.1953155,-1.367208
511.061,0.390631,0.5859464,-1.562524
511.062,0.1953155,0.1953155,-1.367208
511.063,-1.171893,-0.390631,-1.562524
511.064,-1.562524,0.1953155,-2.343786
511.065,-1.171893,0.390631,-0.9765774
511.066,-0.5859464,-0.5859464,-1.562524
511.067,-0.9765774,0,-2.14847
511.068,0.5859464,0.390631,-0.7812619
511.069,-0.390631,-0.390631,-0.9765774
511.07,0.7812619,-0.1953155,-2.14847
511.071,-1.171893,-0.390631,-1.562524
511.072,-0.390631,0,0
511.073,-0.1953155,0.5859464,-0.9765774
511.074,0.390631,1.562524,-0.7812619
511.075,-1.171893,1.171893,-0.5859464
511.076,-1.367208,-0.1953155,-0.5859464
511.077,-1.171893,-0.1953155,-0.9765774
511.078,-2.14847,1.367208,-0.5859464
511.079,-0.7812619,0.9765774,0.1953155
511.08,-1.367208,0.1953155,0.1953155
511.081,-0.1953155,0.390631,-2.14847
511.082,0.1953155,0.390631,-0.1953155
511.083,-1.757839,0.5859464,-0.5859464
511.084,-0.9765774,0.5859464,0.1953155
511.085,0.1953155,-0.390631,0
511.086,0.390631,0.1953155,-1.757839
511.087,0.7812619,-0.7812619,-0.5859464
511.088,-1.171893,0.390631,0.390631
511.089,0,0.9765774,-0.7812619
511.09,-0.1953155,1.562524,1.171893
511.091,-0.390631,0.1953155,0.1953155
511.092,-1.562524,0.7812619,-1.171893
511.093,-1.757839,0.7812619,0
511.094,-0.9765774,0.5859464,0
511.095,-0.1953155,0.390631,-0.1953155
511.096,-0.5859464,1.171893,-0.1953155
511.097,-1.171893,0,0.390631
511.098,-3.320363,0.9765774,-1.367208
511.099,-3.125048,0.1953155,-1.171893
511.1,-0.390631,0.9765774,0
511.101,-2.14847,1.171893,0
511.102,-1.367208,1.367208,0.9765774
511.103,-0.5859464,0.390631,2.343786
511.104,-1.367208,0,0.9765774
511.105,-0.9765774,1.367208,0.5859464
511.106,0.5859464,0.9765774,0.9765774
511.107,-1.171893,0.5859464,0.390631
511.108,0.5859464,0.9765774,0.1953155
511.109,1.367208,0.9765774,0.9765774
511.11,-1.757839,0.7812619,0.7812619
511.111,-0.9765774,0.5859464,1.953155
511.112,-0.1953155,0.7812619,-0.390631
511.113,-0.7812619,0.9765774,1.757839
511.114,-0.7812619,1.757839,0.1953155
511.115,-1.171893,0,0.5859464
511.116,-0.1953155,0.5859464,0.390631
511.117,-1.562524,0.390631,2.14847
511.118,-0.7812619,0.9765774,3.125048
511.119,-1.171893,2.539101,2.929732
511.12,-0.9765774,1.367208,2.343786
511.121,-0.5859464,0.7812619,1.367208
511.122,0.1953155,1.367208,2.14847
511.123,-0.5859464,0.1953155,0.1953155
511.124,-0.9765774,0.1953155,1.367208
