Time [s],X [°/s],Y [°/s],Z [°/s]
510.741,320.5615,-284.3061,3.295949
510.742,320.1953,-280.1556,-4.394598
510.74325,319.9512,-277.348,-13.06172
510.7445,316.4111,-273.3196,-21.36263
510.74575,312.5048,-268.925,-27.71038
510.747,307.9881,-265.3849,-33.69192
510.74825,298.9547,-262.089,-38.20859
510.7495,289.9214,-258.1826,-42.96941
510.75075,282.475,-253.0556,-46.38743
510.752,272.343,-247.3182,-50.65995
510.753,263.3097,-241.9471,-52.97932
510.75425,255.4971,-237.9187,-55.42077
510.7555,246.8299,-233.6461,-58.22843
510.75675,237.9187,-228.8853,-59.32708
510.758,228.397,-226.566,-58.71672
510.759,222.0493,-225.2232,-58.83879
510.76025,213.7484,-222.1714,-57.00771
510.7615,205.3254,-218.8754,-58.47257
510.76275,197.0245,-217.1664,-62.37888
510.764,186.7704,-212.8939,-67.13969
510.76525,178.2254,-209.4758,-73.85367
510.7665,174.3191,-198.7335,-84.2298
510.76775,173.3425,-183.8407,-98.14603
510.769,173.5866,-161.7456,-113.7713
510.77,178.7137,-135.7443,-129.7627
510.77125,187.6249,-108.5222,-143.0686
510.7725,197.7569,-79.59106,-152.4681
510.77375,207.1565,-53.71176,-153.933
510.775,217.8988,-36.01129,-147.4632
510.776,224.979,-25.63516,-133.0587
510.77725,228.8853,-18.55497,-116.0906
510.7785,230.4723,-15.50317,-95.46044
510.77975,227.6646,-14.16037,-75.68475
510.781,223.7583,-15.25902,-55.42077
510.78225,218.8754,-18.67704,-37.84237
510.7835,208.011,-20.75227,-24.17029
510.78475,196.7803,-25.51308,-10.25406
510.786,183.7186,-32.59327,2.197299
510.787,171.9997,-39.18517,12.69551
510.78825,160.5249,-44.55634,19.77569
510.7895,149.9046,-50.41581,26.73381
510.79075,141.3596,-53.9559,29.90768
510.792,133.4249,-56.39735,31.00633
510.79325,128.0537,-59.44915,30.76219
510.7945,125.0019,-63.23339,30.2739
510.79575,123.0488,-64.33204,28.32075
510.797,122.6825,-65.79691,26.36759
510.798,121.9501,-65.18654,23.92615
510.79925,121.0956,-64.82033,20.75227
510.8005,118.2879,-64.33204,18.55497
510.80175,117.3114,-66.04105,14.89281
510.803,116.2127,-66.89555,12.20722
510.804,114.8699,-67.26177,9.765774
510.80525,114.5037,-67.38384,7.812619
510.8065,109.987,-67.38384,5.859465
510.80775,107.5456,-66.65141,3.662165
510.809,103.3951,-65.91898,2.685588
510.81025,99.48882,-65.91898,2.319371
510.8115,97.65774,-65.06447,1.70901
510.81275,93.50729,-64.20996,0.2441444
510.814,88.38026,-62.98924,0.2441444
510.815,84.2298,-61.64645,0
510.81625,81.42214,-62.62302,-0.2441444
510.8175,78.49241,-60.79194,-1.09865
510.81875,75.80682,-58.71672,-1.342794
510.82,72.26673,-57.37392,-2.80766
510.82125,66.52934,-54.20005,-6.103609
510.8225,64.9424,-51.7586,-9.277485
510.82375,61.03609,-48.34058,-12.69551
510.825,58.22843,-46.26535,-14.40452
510.826,55.90906,-42.48112,-17.21218
510.82725,53.22347,-40.16175,-20.26398
510.8285,49.19509,-37.59823,-23.80407
510.82975,47.60815,-34.42435,-25.0248
510.831,45.77707,-32.10498,-25.39101
510.83225,43.82391,-30.76219,-26.24552
510.8335,41.87075,-31.25048,-25.63516
510.83475,39.55138,-30.39597,-25.0248
510.836,38.33066,-29.54147,-24.29236
510.837,37.47616,-30.2739,-24.17029
510.83825,35.76715,-30.51804,-22.8275
510.8395,34.54642,-29.66354,-21.60678
510.84075,32.83741,-28.80903,-21.85092
510.842,30.51804,-28.0766,-21.11849
510.843,30.51804,-27.46624,-20.6302
510.84425,29.66354,-27.58831,-20.75227
510.8455,25.63516,-25.8793,-21.36263
510.84675,24.53651,-24.04822,-21.85092
510.848,24.41443,-23.92615,-23.07164
510.84925,23.19371,-24.04822,-24.78065
510.8505,18.18876,-23.07164,-25.0248
510.85175,15.62524,-23.43786,-26.00137
510.853,14.40452,-22.94957,-27.71038
510.854,12.69551,-22.70543,-28.44282
510.85525,9.033341,-23.07164,-29.78561
510.8565,5.737392,-21.97299,-31.25048
510.85775,4.272526,-22.94957,-32.4712
510.859,0.9765774,-24.04822,-34.05814
510.86,-2.563516,-24.04822,-36.01129
510.86125,-4.638742,-24.29236,-38.20859
510.8625,-7.446403,-24.90272,-38.94102
510.86375,-9.277485,-26.00137,-40.28382
510.865,-12.45136,-25.63516,-42.35904
510.86625,-14.16037,-27.10002,-44.43427
510.8675,-17.70047,-26.12345,-46.26535
510.86875,-21.11849,-25.8793,-47.24193
510.87,-22.46128,-26.85588,-49.43923
510.871,-23.92615,-26.85588,-50.9041
510.87225,-25.75723,-28.0766,-51.39239
510.8735,-29.05318,-27.95453,-53.10139
510.87475,-33.08156,-27.34417,-53.71176
510.876,-35.27886,-27.71038,-53.83383
510.877,-36.8658,-28.80903,-54.56626
510.87825,-39.30724,-28.32075,-57.37392
510.8795,-41.50454,-27.71038,-58.59464
510.88075,-43.94598,-27.95453,-60.18158
510.882,-47.60815,-27.34417,-61.15816
510.88325,-49.5613,-28.0766,-62.50095
510.8845,-51.63653,-28.19867,-64.08789
510.88575,-53.34554,-28.19867,-66.04105
510.887,-54.93248,-28.68696,-67.50591
510.888,-57.49599,-27.2221,-67.75005
510.88925,-59.32708,-27.46624,-69.21492
510.8905,-60.5478,-28.0766,-70.43565
510.89175,-63.72168,-26.48966,-71.77844
510.893,-65.91898,-27.10002,-74.09781
510.89425,-68.11627,-27.95453,-75.19646
510.8955,-70.80186,-26.85588,-76.29511
510.89675,-71.65636,-27.71038,-78.12619
510.898,-73.48745,-27.58831,-79.71313
510.899,-76.66132,-27.83246,-81.66628
510.90025,-78.37034,-28.80903,-83.25323
510.9015,-81.54421,-27.46624,-84.10773
510.90275,-81.54421,-29.05318,-85.93881
510.904,-83.74151,-29.17525,-87.15953
510.905,-87.40368,-28.19867,-88.01404
510.90625,-90.08926,-28.68696,-89.84512
510.9075,-91.30999,-28.9311,-93.019
510.90875,-91.6762,-28.9311,-94.36179
510.91,-94.48386,-29.54147,-95.46044
510.91125,-97.77982,-28.32075,-97.90189
510.9125,-98.51225,-28.80903,-99.48882
510.91375,-100.3433,-29.41939,-100.7095
510.915,-102.5406,-29.05318,-102.6627
510.916,-105.7145,-28.32075,-104.86
510.91725,-106.8132,-28.80903,-105.9586
510.9185,-108.0339,-29.90768,-107.6677
510.91975,-109.4987,-28.80903,-108.5222
510.921,-112.5505,-28.44282,-110.7195
510.92225,-114.1375,-28.44282,-112.3064
