Time [s],X [g],Y [g],Z [g]
779.28,1.367208,-1.367208,-0.1953155
779.281,0.1953155,1.562524,-0.7812619
779.282,-0.9765774,0.5859464,0.9765774
779.283,0,1.171893,0.9765774
779.284,0.1953155,-0.390631,1.171893
779.285,0.7812619,0.7812619,0.1953155
779.286,0.9765774,0.390631,1.171893
779.287,0.1953155,0.9765774,-1.367208
779.288,0.7812619,0.9765774,0
779.289,0.5859464,-0.1953155,-0.1953155
779.29,0.7812619,-0.9765774,-1.562524
779.291,0.390631,-0.7812619,-1.367208
779.292,0.5859464,0.5859464,-0.5859464
779.293,-0.5859464,1.953155,1.562524
779.294,1.367208,0.1953155,0.9765774
779.295,1.367208,0.7812619,0.390631
779.296,0.5859464,-1.562524,1.367208
779.297,-0.7812619,0.9765774,1.367208
779.298,-0.7812619,1.757839,0.1953155
779.299,0.7812619,1.171893,0
779.3,-0.1953155,0.5859464,0.1953155
779.301,1.953155,-0.390631,0.7812619
779.302,-1.757839,0,0.1953155
779.303,0.9765774,0,1.367208
779.304,0.7812619,-0.1953155,0.1953155
779.305,0,-0.9765774,0.390631
779.306,-0.1953155,1.367208,1.953155
779.307,0,-0.390631,0.390631
779.308,0.5859464,-0.1953155,1.562524
779.309,0.5859464,-0.390631,-0.5859464
779.31,0.5859464,-0.390631,0.7812619
779.311,1.367208,0.5859464,0.5859464
779.312,-0.5859464,0.5859464,1.171893
779.313,1.367208,-0.390631,0.390631
779.314,0.390631,0.7812619,-0.390631
779.315,1.171893,0,0.5859464
779.316,-0.390631,0.390631,0.5859464
779.317,-0.7812619,0.1953155,-0.390631
779.318,0.7812619,0.1953155,0.5859464
779.319,-0.9765774,-0.1953155,0
779.32,0.5859464,2.734417,-1.953155
779.321,1.367208,0.9765774,-0.1953155
779.322,1.171893,0.1953155,-0.1953155
779.323,0.390631,0,1.367208
779.324,1.367208,-0.5859464,0.390631
779.325,-0.7812619,1.171893,0
779.326,-0.5859464,-1.171893,1.367208
779.327,0.390631,1.171893,-0.390631
779.328,0.390631,0.5859464,0.9765774
779.329,1.171893,0.5859464,0.9765774
