Time [s],X [°/s],Y [°/s],Z [°/s]
779.28,-17.57839,-2.563516,0.3662165
779.28125,-17.45632,-1.70901,-0.4882887
779.2825,-16.47974,-2.075227,0.1220722
779.28375,-16.96803,-3.051804,0.3662165
779.285,-17.70047,-1.586938,-0.4882887
779.286,-15.62524,-1.953155,-1.09865
779.28725,-15.01488,-1.09865,-0.6103609
779.2885,-14.77073,-0.8545052,-0.9765774
779.28975,-15.01488,-0.6103609,-0.4882887
779.291,-15.01488,-0.1220722,-0.2441444
779.29225,-15.01488,-0.6103609,-1.220722
779.2935,-14.0383,-0.3662165,-0.3662165
779.29475,-15.25902,-0.1220722,-0.3662165
779.296,-14.52659,-0.8545052,-1.09865
779.297,-12.81758,-0.4882887,-1.953155
779.29825,-13.42794,-1.09865,-2.319371
779.2995,-13.55001,-0.8545052,-1.09865
779.30075,-13.67208,-1.586938,-1.953155
779.302,-13.18379,-0.3662165,-1.953155
779.303,-11.96307,-0.9765774,-2.319371
779.30425,-12.93965,0,-1.70901
779.3055,-12.81758,-0.2441444,-1.464866
779.30675,-11.23064,-0.2441444,-2.197299
779.308,-10.62028,0.2441444,-2.075227
779.30925,-12.45136,1.464866,-2.80766
779.3105,-10.49821,0.4882887,-3.173877
779.31175,-10.86442,0.8545052,-2.80766
779.313,-10.37613,1.342794,-2.441443
779.31425,-9.399557,0.7324331,-1.70901
779.3155,-8.911269,1.464866,-2.80766
779.31675,-8.178836,1.70901,-3.540093
779.318,-8.789197,2.80766,-2.929732
779.319,-7.080186,1.342794,-2.80766
779.32,-6.71397,2.075227,-2.563516
779.32125,-7.446403,2.197299,-3.173877
779.3225,-6.71397,1.70901,-3.418021
779.32375,-6.469825,1.464866,-3.662165
779.325,-6.225681,1.586938,-3.662165
779.32625,-7.32433,2.685588,-3.90631
779.3275,-5.004959,2.197299,-4.394598
779.32875,-5.859465,2.929732,-4.150454
779.33,-5.493248,3.173877,-3.173877
779.331,-5.004959,2.319371,-3.90631
779.33225,-4.760815,1.953155,-4.516671
779.3335,-4.028382,2.685588,-4.638742
779.33475,-4.028382,2.563516,-5.61532
779.336,-4.028382,3.173877,-5.737392
779.33725,-3.662165,2.441443,-5.371176
779.3385,-1.953155,2.929732,-5.371176
779.33975,-2.197299,3.90631,-5.004959
779.341,-2.319371,3.051804,-4.638742
779.342,-1.464866,4.028382,-6.103609
779.34325,-2.441443,3.540093,-5.859465
779.3445,-2.075227,5.249104,-4.760815
779.34575,-0.9765774,7.568475,-5.249104
779.347,-0.2441444,7.568475,-6.103609
779.348,-1.70901,8.42298,-6.71397
779.34925,-0.3662165,8.42298,-7.080186
779.3505,-0.4882887,8.178836,-6.71397
779.35175,0.8545052,7.446403,-6.225681
779.353,0.1220722,8.42298,-5.249104
779.35425,1.586938,8.056764,-5.371176
779.3555,0.3662165,9.033341,-6.225681
779.35675,2.075227,7.32433,-6.71397
779.358,0.2441444,8.667125,-6.71397
779.359,1.464866,9.643702,-6.836042
779.36025,0.7324331,8.42298,-6.71397
779.3615,1.586938,8.056764,-6.958114
779.36275,2.075227,8.545053,-6.591897
779.364,3.418021,9.765774,-6.469825
779.365,2.80766,9.399557,-7.446403
779.36625,3.295949,9.399557,-6.469825
779.3675,3.173877,9.033341,-5.61532
779.36875,3.295949,8.789197,-8.178836
779.37,3.540093,9.033341,-7.568475
779.37125,2.929732,10.25406,-6.836042
779.3725,3.173877,10.37613,-7.202258
779.37375,4.028382,9.399557,-7.568475
779.375,4.638742,9.399557,-8.42298
779.376,4.760815,9.399557,-7.812619
779.37725,4.028382,9.887846,-7.446403
779.3785,4.272526,10.37613,-8.056764
779.37975,5.127031,9.155413,-7.446403
779.381,4.882887,9.887846,-7.690547
779.38225,4.760815,10.25406,-7.690547
779.3835,5.371176,9.277485,-7.32433
779.38475,4.882887,10.37613,-7.690547
779.386,5.61532,9.887846,-7.812619
779.387,5.249104,9.521629,-7.934691
779.38825,5.737392,9.643702,-8.056764
779.3895,4.760815,9.765774,-7.934691
779.39075,4.760815,9.277485,-7.080186
779.392,5.127031,10.25406,-6.836042
779.393,4.882887,10.13199,-7.690547
779.39425,6.591897,9.155413,-8.056764
779.3955,6.469825,8.911269,-7.812619
779.39675,5.981536,9.887846,-8.178836
779.398,6.591897,9.887846,-7.080186
779.39925,4.882887,11.23064,-7.202258
779.4005,5.493248,10.00992,-6.958114
779.40175,8.056764,8.667125,-7.32433
779.403,8.178836,9.521629,-7.690547
779.404,5.371176,10.74235,-7.202258
779.40525,5.737392,9.765774,-7.32433
779.4065,5.859465,10.37613,-7.32433
779.40775,5.859465,10.49821,-7.568475
779.409,5.493248,10.00992,-8.300908
779.41025,6.836042,9.643702,-7.446403
779.4115,6.469825,10.86442,-7.446403
779.41275,6.469825,10.00992,-7.080186
