Time [s],X [g],Y [g],Z [g]
190.763,-0.1953155,0.390631,0
190.764,0.7812619,0.1953155,0
190.765,-1.171893,1.367208,0.9765774
190.766,0.5859464,0.390631,1.367208
190.767,0.7812619,-0.1953155,-0.5859464
190.768,1.367208,0,0
190.769,-0.390631,1.562524,-0.9765774
190.77,1.171893,-0.390631,0.1953155
190.771,0,-0.1953155,-0.7812619
190.772,-0.390631,-0.1953155,0
190.773,0.9765774,0.390631,1.367208
190.774,0.1953155,1.757839,0.7812619
190.775,-0.390631,0.7812619,-0.5859464
190.776,0.1953155,0.7812619,1.171893
190.777,0.390631,-0.9765774,-1.367208
190.778,0.9765774,1.367208,-0.5859464
190.779,-0.7812619,-0.5859464,0.7812619
190.78,1.953155,0.9765774,0.7812619
190.781,0,-0.1953155,1.562524
190.782,0,0.9765774,1.757839
190.783,0.1953155,0.9765774,-0.390631
190.784,-1.562524,0.9765774,0.390631
190.785,1.171893,-0.5859464,-0.1953155
190.786,0.7812619,0.5859464,0.1953155
190.787,0.390631,1.367208,0.7812619
190.788,0.390631,1.171893,0.1953155
190.789,-0.1953155,0.390631,1.367208
190.79,-2.14847,0,0.7812619
190.791,0.9765774,0.7812619,-0.390631
190.792,-0.390631,0,0.7812619
190.793,1.367208,1.171893,0.5859464
190.794,0.7812619,0.5859464,0.1953155
190.795,0.5859464,1.367208,1.757839
190.796,0.9765774,0.7812619,1.757839
190.797,-1.171893,0.1953155,0.1953155
190.798,0.390631,0.7812619,0.9765774
190.799,1.562524,-0.5859464,-0.1953155
190.8,-0.7812619,0.7812619,0.5859464
190.801,1.757839,0.7812619,0.390631
190.802,0.7812619,0.5859464,0.9765774
190.803,0.390631,0.5859464,0.9765774
190.804,1.367208,0.5859464,-1.171893
190.805,-0.5859464,0.9765774,-0.1953155
190.806,0.7812619,1.171893,-0.1953155
190.807,0.390631,0,0
190.808,0.5859464,0.5859464,-0.5859464
190.809,-0.1953155,-0.390631,0.9765774
190.81,-1.757839,0.7812619,-0.5859464
190.811,0.7812619,-0.1953155,1.171893
190.812,-0.9765774,0.7812619,1.171893
190.813,0.7812619,1.367208,0.7812619
190.814,0.5859464,-0.390631,0
190.815,0.390631,-0.5859464,-0.9765774
190.816,0.9765774,0.5859464,-0.1953155
190.817,0.9765774,-0.5859464,0.7812619
190.818,-0.390631,1.757839,-0.390631
190.819,0.5859464,-0.390631,0.5859464
190.82,-0.1953155,-0.1953155,0.7812619
190.821,0,0.5859464,-1.367208
190.822,0.390631,0.7812619,1.171893
190.823,1.367208,-0.1953155,0.1953155
190.824,0.9765774,1.171893,0.5859464
190.825,0.5859464,0.7812619,0
190.826,0.1953155,1.953155,0
190.827,-0.7812619,-0.5859464,0.7812619
190.828,0.5859464,0.7812619,0.7812619
190.829,0.5859464,-0.390631,-0.1953155
190.83,0.390631,-0.7812619,0
190.831,-0.9765774,0.5859464,0.1953155
190.832,1.171893,0.7812619,0.9765774
190.833,-0.5859464,0,0.390631
190.834,1.367208,1.171893,-0.390631
190.835,1.367208,0.5859464,0.9765774
190.836,0.1953155,1.171893,0.1953155
190.837,-1.953155,0,-0.390631
190.838,0.390631,0.9765774,-0.1953155
190.839,1.367208,1.562524,1.757839
190.84,0.9765774,0.7812619,1.171893
190.841,0.390631,-0.390631,0.7812619
190.842,0.9765774,0,0.7812619
190.843,-0.7812619,0.390631,1.171893
190.844,1.171893,-0.390631,1.562524
190.845,-0.9765774,-1.953155,-0.9765774
190.846,0,-0.9765774,1.562524
190.847,1.562524,0,1.367208
190.848,0.7812619,0.9765774,0
190.849,-0.390631,0.390631,1.757839
190.85,-0.1953155,0.5859464,0.7812619
190.851,1.171893,1.562524,-0.7812619
190.852,-0.9765774,1.171893,-0.9765774
190.853,0.5859464,0.5859464,-0.390631
190.854,0.7812619,-1.367208,0.390631
190.855,0.9765774,-0.5859464,1.367208
190.856,-0.390631,0.390631,0
190.857,1.171893,1.171893,-0.1953155
190.858,-0.7812619,0.390631,0.390631
190.859,1.367208,-1.171893,0.7812619
190.86,1.171893,0.390631,-0.5859464
190.861,0.1953155,0,1.757839
190.862,0.9765774,0,0.1953155
190.863,0.1953155,-1.367208,0
190.864,0.7812619,0.9765774,0.5859464
190.865,-0.5859464,0.5859464,0.7812619
190.866,1.171893,0.390631,-0.390631
190.867,0.5859464,0,0.7812619
190.868,0.5859464,0.1953155,-0.1953155
190.869,-0.390631,-0.390631,1.171893
190.87,-0.390631,0.5859464,-0.7812619
190.871,0.7812619,1.171893,0.390631
190.872,-0.5859464,0.7812619,-0.5859464
190.873,0.5859464,0,-1.171893
190.874,-0.390631,1.757839,0.9765774
190.875,0,-0.5859464,-1.171893
190.876,0.9765774,1.367208,-1.757839
190.877,0.1953155,0.5859464,0.1953155
190.878,0.1953155,0,-1.367208
190.879,0.7812619,-0.9765774,0.9765774
190.88,-0.1953155,2.14847,0.1953155
190.881,0.1953155,-0.390631,-0.7812619
190.882,0.1953155,-0.1953155,-0.7812619
190.883,0.9765774,0.5859464,-0.7812619
190.884,1.171893,-0.1953155,0.5859464
190.885,0.5859464,0.9765774,1.953155
190.886,1.953155,0.9765774,0.390631
190.887,1.757839,-0.1953155,0.1953155
190.888,1.367208,-0.1953155,0.9765774
190.889,1.171893,0.390631,-0.390631
190.89,0.5859464,-0.390631,-0.1953155
190.891,0.9765774,2.343786,-1.367208
190.892,0.5859464,-0.1953155,0.9765774
190.893,0.1953155,-0.5859464,0.1953155
190.894,0.390631,0.390631,1.171893
190.895,-0.1953155,0.9765774,1.367208
190.896,0.9765774,-0.390631,-1.367208
190.897,-0.9765774,1.367208,0.390631
190.898,0.390631,-0.9765774,0.7812619
190.899,0.5859464,-0.7812619,0.1953155
190.9,0.1953155,0.1953155,-0.1953155
190.901,0.7812619,-0.7812619,0.7812619
190.902,0,-0.1953155,0
190.903,0.1953155,-0.5859464,-0.390631
190.904,0.390631,-0.1953155,-0.1953155
190.905,-0.7812619,-0.390631,-0.1953155
190.906,1.171893,1.562524,1.171893
190.907,0.5859464,-0.1953155,0.390631
190.908,0.5859464,-0.1953155,0.390631
190.909,0.1953155,0.7812619,0.7812619
190.91,0.5859464,0.5859464,-0.1953155
190.911,-1.367208,1.171893,-0.1953155
190.912,1.367208,0.5859464,0
190.913,0,-0.390631,1.171893
190.914,0.1953155,-0.390631,0.1953155
190.915,0.7812619,-0.390631,0
190.916,-1.367208,-0.390631,0.5859464
190.917,0.5859464,-0.1953155,0.1953155
190.918,-0.7812619,-0.5859464,0.390631
190.919,-1.171893,0.390631,-0.9765774
190.92,-0.5859464,0.390631,0.7812619
190.921,-0.1953155,0.390631,0.390631
190.922,-0.1953155,0.7812619,0.390631
190.923,0.1953155,-1.171893,1.171893
190.924,-0.9765774,0.390631,1.171893
190.925,0.9765774,0.7812619,0.7812619
190.926,0.1953155,0.5859464,0.7812619
190.927,0.1953155,-0.9765774,1.367208
190.928,1.757839,-0.390631,-0.390631
190.929,0,-0.5859464,0.7812619
190.93,0.390631,0.1953155,0.7812619
190.931,-0.390631,-0.1953155,1.367208
190.932,0.390631,0.5859464,0.1953155
190.933,0.9765774,1.953155,1.562524
190.934,0.390631,0.7812619,1.367208
190.935,-0.1953155,0.390631,0.1953155
190.936,0.9765774,-0.9765774,0.5859464
190.937,0,0.9765774,1.367208
190.938,0.5859464,0.390631,0.1953155
190.939,0.5859464,0.5859464,0.7812619
190.94,0,0.7812619,-0.1953155
190.941,0.7812619,0.5859464,1.367208
190.942,0.7812619,0.9765774,0.7812619
190.943,0.5859464,0.390631,-0.1953155
190.944,-0.1953155,1.953155,1.171893
190.945,0.1953155,1.171893,0.9765774
190.946,0.9765774,0,0
190.947,-0.1953155,1.757839,-0.1953155
190.948,0.390631,0.7812619,0.5859464
190.949,-1.562524,0.7812619,0.1953155
190.95,0.5859464,0.7812619,-0.1953155
190.951,0,-0.1953155,0.7812619
190.952,0,0.9765774,0
190.953,0.1953155,0.5859464,-0.5859464
190.954,-0.390631,0.7812619,0.9765774
190.955,0.7812619,0.7812619,-0.1953155
190.956,-0.390631,-0.1953155,-0.5859464
190.957,0.1953155,0.1953155,0.7812619
190.958,-1.953155,0.1953155,1.171893
190.959,0.390631,1.562524,-1.171893
190.96,-0.390631,0.1953155,-0.1953155
190.961,1.171893,2.343786,-0.390631
190.962,0,0.5859464,1.171893
190.963,0.9765774,0.9765774,-0.390631
190.964,0.7812619,0.5859464,1.562524
190.965,0.9765774,0.5859464,0.5859464
190.966,-0.5859464,0.7812619,0.1953155
190.967,0.7812619,0.7812619,-0.9765774
190.968,-1.171893,-0.5859464,0.5859464
190.969,2.929732,0.1953155,0.390631
190.97,-0.390631,1.757839,0
190.971,-0.7812619,0.390631,-0.7812619
190.972,1.367208,-1.367208,0.390631
190.973,-0.7812619,0.9765774,-0.9765774
190.974,2.539101,1.562524,0.1953155
190.975,1.562524,0.9765774,0
190.976,-0.9765774,-0.390631,-0.1953155
190.977,-0.390631,2.14847,1.367208
190.978,-0.9765774,2.14847,0.7812619
190.979,0.7812619,1.757839,0.390631
190.98,0,0.5859464,0.390631
190.981,-0.7812619,0,2.343786
190.982,0.390631,-0.1953155,1.367208
190.983,0,0.5859464,0.1953155
190.984,1.367208,0.7812619,1.562524
190.985,0.5859464,-0.5859464,-0.1953155
190.986,-0.7812619,1.953155,0.9765774
190.987,1.757839,1.367208,-0.5859464
190.988,-0.5859464,1.953155,-0.1953155
190.989,-0.5859464,-1.562524,0.1953155
190.99,1.757839,-0.9765774,1.562524
190.991,-0.9765774,0.390631,0
190.992,0.5859464,0.5859464,0.7812619
190.993,0.7812619,0,0.5859464
190.994,0.390631,-0.1953155,0.9765774
190.995,-0.1953155,0.9765774,-0.5859464
190.996,1.367208,-0.1953155,0
190.997,0.5859464,0.1953155,-2.343786
190.998,-0.1953155,0,0.390631
190.999,1.171893,-0.390631,0
191,-0.5859464,-0.1953155,-0.390631
191.001,0.9765774,0.7812619,1.562524
191.002,1.367208,1.757839,0.1953155
191.003,0.5859464,-0.1953155,0.390631
191.004,0,0.7812619,1.367208
191.005,-0.390631,0.390631,0.5859464
191.006,-0.390631,0.9765774,-0.5859464
191.007,-0.5859464,0.1953155,-0.1953155
191.008,0.1953155,0.5859464,-0.390631
191.009,1.367208,0.1953155,-0.1953155
191.01,0.7812619,0.5859464,0.390631
191.011,-0.5859464,-0.1953155,0.9765774
191.012,0,0.5859464,-0.1953155
191.013,0.390631,-0.1953155,0.5859464
191.014,1.171893,-0.1953155,0.1953155
191.015,-0.1953155,0.1953155,-1.562524
191.016,0.9765774,-0.390631,0.390631
191.017,0.7812619,0.5859464,1.367208
191.018,-0.1953155,-0.390631,-0.7812619
191.019,-0.1953155,-0.390631,0.390631
191.02,0.7812619,0.7812619,1.171893
191.021,-1.757839,1.757839,2.14847
191.022,0.390631,1.171893,-1.171893
191.023,1.171893,-0.9765774,-0.5859464
191.024,-0.9765774,-0.5859464,0.9765774
191.025,0.9765774,-0.5859464,0.390631
191.026,0.1953155,0.7812619,-1.367208
191.027,0.1953155,0.390631,1.562524
191.028,0.5859464,-0.390631,-0.9765774
191.029,1.367208,-0.9765774,0
191.03,0,0,-0.9765774
191.031,1.367208,-1.367208,-1.171893
191.032,0.1953155,0.5859464,0.9765774
191.033,1.367208,0.7812619,-0.1953155
191.034,-1.562524,0.5859464,0
191.035,1.171893,0.9765774,0.7812619
191.036,1.171893,0.7812619,0
191.037,-0.1953155,-0.5859464,0.9765774
191.038,0.5859464,0.5859464,-0.390631
191.039,0.7812619,0.9765774,-1.367208
191.04,-0.5859464,-0.1953155,0.5859464
191.041,0.1953155,0.5859464,0
191.042,0.1953155,0.390631,0
191.043,0.9765774,-0.1953155,-0.1953155
191.044,0.390631,0.390631,0
191.045,-0.390631,0.390631,-0.7812619
191.046,0.1953155,0,1.171893
191.047,0.1953155,-0.9765774,-0.9765774
191.048,1.562524,0.1953155,0.390631
191.049,-0.1953155,0.5859464,0
191.05,-1.171893,-0.1953155,0
191.051,1.171893,-0.5859464,-0.1953155
191.052,0,-0.5859464,0.1953155
191.053,0.9765774,0,-0.7812619
191.054,0.1953155,0.7812619,0.390631
191.055,0.5859464,-0.7812619,0.390631
191.056,-0.390631,1.171893,0.5859464
191.057,1.171893,0.9765774,0
191.058,0.5859464,0.5859464,2.343786
191.059,-1.171893,0.5859464,0.1953155
191.06,-0.390631,-0.390631,-0.5859464
191.061,0.7812619,0.390631,1.367208
191.062,0.390631,1.367208,1.953155
191.063,0.1953155,0,-0.1953155
191.064,-0.7812619,-0.9765774,0.9765774
191.065,0.5859464,0,1.171893
191.066,0.1953155,0.9765774,1.171893
191.067,1.562524,-0.390631,0.390631
191.068,1.367208,-0.1953155,1.562524
191.069,0,0.1953155,1.757839
191.07,-0.5859464,-0.9765774,0.9765774
191.071,1.367208,-0.1953155,-0.1953155
191.072,-0.5859464,0,0.7812619
191.073,0.7812619,0,0.9765774
191.074,0.1953155,-0.5859464,0.390631
191.075,0.9765774,0,0.7812619
191.076,-0.1953155,0.390631,1.953155
191.077,-0.5859464,0.390631,0.390631
191.078,-0.1953155,0,0.5859464
191.079,0.9765774,1.757839,0
191.08,-0.1953155,0.1953155,-0.1953155
191.081,0.5859464,-0.1953155,-0.390631
191.082,0,0.1953155,-0.390631
191.083,0.1953155,-0.390631,0.5859464
191.084,0.9765774,-0.1953155,-1.171893
191.085,1.367208,0.7812619,1.757839
191.086,0.390631,0.1953155,0.7812619
191.087,0,0.390631,1.171893
191.088,0.5859464,-0.5859464,-1.171893
191.089,1.367208,0.1953155,-0.390631
191.09,0.5859464,0.390631,0.390631
191.091,0.5859464,-0.5859464,0.1953155
191.092,-0.390631,0.5859464,0.9765774
191.093,-0.390631,0.5859464,1.562524
191.094,-0.390631,0.390631,0.5859464
191.095,0.1953155,-0.390631,1.367208
191.096,0.5859464,0.5859464,-0.5859464
191.097,0.1953155,0.9765774,0.9765774
191.098,-0.9765774,-0.5859464,0
191.099,0.1953155,0,1.367208
191.1,1.367208,0.390631,0.7812619
191.101,-1.367208,0.1953155,-0.7812619
191.102,0.1953155,-0.1953155,-0.1953155
191.103,-0.390631,0,-0.7812619
191.104,-0.390631,-0.390631,0.1953155
191.105,2.14847,-0.5859464,0
191.106,1.171893,-0.7812619,0.1953155
191.107,0.390631,0.5859464,1.562524
191.108,1.757839,-0.390631,1.562524
191.109,-0.390631,1.171893,0
191.11,1.171893,-1.562524,-0.9765774
191.111,1.367208,-0.7812619,0.7812619
191.112,0.390631,1.171893,-1.171893
191.113,0.7812619,-0.390631,0.390631
191.114,-0.9765774,0.390631,0
191.115,-0.5859464,0.390631,-0.5859464
191.116,-0.390631,0.1953155,-1.367208
191.117,1.953155,-0.1953155,0.5859464
191.118,1.953155,0,0.390631
191.119,-0.9765774,1.367208,-1.171893
191.12,1.171893,1.171893,0
191.121,1.953155,-0.390631,0.1953155
191.122,0,-0.1953155,-0.7812619
191.123,-0.1953155,0.7812619,-0.390631
191.124,-0.7812619,-0.1953155,-0.1953155
191.125,0.7812619,0.1953155,1.562524
191.126,0.7812619,0.1953155,0.9765774
191.127,1.171893,0.7812619,-0.7812619
191.128,0.1953155,-0.7812619,0.1953155
191.129,-1.171893,0.390631,1.757839
191.13,0,-0.390631,-1.562524
191.131,-0.1953155,0.1953155,0.390631
191.132,0.5859464,-0.390631,0.1953155
191.133,0.7812619,0.9765774,0.390631
191.134,-1.757839,0.5859464,0.9765774
191.135,1.367208,-0.5859464,0.1953155
191.136,1.171893,0.390631,0.390631
191.137,0.9765774,2.14847,0.1953155
191.138,0.5859464,0.7812619,0.390631
191.139,1.953155,-0.390631,1.367208
191.14,0,0.1953155,0
191.141,-0.7812619,0.9765774,1.171893
191.142,0.1953155,-0.390631,-0.5859464
191.143,-0.5859464,0.390631,-0.9765774
191.144,0,-0.1953155,-0.1953155
191.145,-0.9765774,-0.1953155,0
191.146,0.5859464,0.9765774,-0.1953155
191.147,-0.1953155,0.1953155,-0.5859464
191.148,0.9765774,-0.7812619,0.390631
191.149,1.171893,1.953155,0
191.15,0.390631,1.171893,1.171893
191.151,0.9765774,0.7812619,-0.5859464
191.152,0.390631,0.5859464,0
191.153,-0.390631,-0.5859464,0.7812619
191.154,1.562524,0,0.5859464
191.155,-0.390631,-0.7812619,0.5859464
191.156,-0.390631,0.9765774,0.7812619
191.157,0.7812619,0.390631,0.9765774
191.158,0.9765774,0.390631,1.562524
191.159,-0.7812619,-0.390631,-0.9765774
191.16,0.390631,-0.1953155,-0.7812619
191.161,-0.5859464,0,1.757839
191.162,0.5859464,0.7812619,0.390631
191.163,0.390631,-0.390631,0.390631
191.164,0,0.9765774,-1.171893
191.165,0.7812619,-0.1953155,0.9765774
191.166,-0.390631,0.9765774,-0.1953155
191.167,1.171893,1.171893,-0.390631
191.168,0.5859464,0.9765774,1.171893
191.169,-0.390631,-0.390631,-0.390631
191.17,0.390631,-0.390631,0.7812619
191.171,0,0.390631,1.367208
191.172,0.7812619,0.7812619,-0.9765774
191.173,0.390631,0.1953155,-0.1953155
191.174,0.5859464,0.1953155,0.1953155
191.175,0.1953155,0.7812619,0.1953155
191.176,-1.757839,0.7812619,1.367208
191.177,1.171893,0,-0.390631
191.178,0.1953155,0.7812619,1.171893
191.179,0.7812619,0.5859464,-0.1953155
191.18,-0.9765774,0.5859464,-0.5859464
191.181,0.5859464,-0.7812619,0.7812619
191.182,0.7812619,-1.367208,0.1953155
191.183,0.390631,-1.367208,0.5859464
191.184,0.9765774,0.1953155,1.757839
191.185,0.390631,0.5859464,0.7812619
191.186,0.9765774,-0.390631,1.953155
191.187,0.9765774,1.171893,0
191.188,-0.9765774,-1.367208,0.9765774
191.189,1.367208,2.14847,-0.1953155
191.19,1.367208,0.390631,0
191.191,-0.9765774,0.5859464,-0.390631
191.192,1.367208,-0.390631,0.1953155
191.193,0.390631,1.757839,0.7812619
191.194,0,-0.390631,-1.171893
191.195,0.1953155,0,0.7812619
191.196,-0.9765774,0.5859464,1.171893
191.197,0.5859464,0.9765774,0
191.198,0.1953155,0.1953155,0.1953155
191.199,0.7812619,0,1.367208
191.2,-0.1953155,0.7812619,0.7812619
191.201,0.1953155,0.7812619,1.562524
191.202,0.5859464,0.1953155,0.7812619
191.203,-0.390631,0.5859464,0.390631
191.204,0.5859464,-0.390631,0.9765774
191.205,0.1953155,-0.7812619,-0.7812619
191.206,0.390631,0.9765774,1.171893
191.207,1.171893,0.390631,0.1953155
191.208,1.367208,-0.1953155,-0.5859464
191.209,-0.390631,0.9765774,1.562524
191.21,1.171893,-1.367208,-0.5859464
191.211,0.5859464,-1.171893,-1.562524
191.212,0.7812619,0.9765774,-0.1953155
191.213,-0.5859464,0.7812619,0.390631
191.214,1.367208,-0.1953155,-0.390631
191.215,-0.390631,1.562524,0.7812619
191.216,0.7812619,0.1953155,0.390631
191.217,-0.1953155,0.1953155,-0.5859464
191.218,1.953155,0.390631,-2.14847
191.219,-0.7812619,-0.7812619,1.953155
191.22,0,-0.390631,-0.390631
191.221,0.5859464,1.953155,0.390631
191.222,0.390631,-0.5859464,1.757839
191.223,1.171893,0.7812619,1.171893
191.224,0.9765774,1.757839,-0.7812619
191.225,-0.1953155,-0.390631,0.1953155
191.226,-0.7812619,0.9765774,1.562524
191.227,0.5859464,1.367208,1.757839
191.228,-0.1953155,0.5859464,0.1953155
191.229,1.953155,-0.7812619,0
191.23,0.9765774,0.1953155,-1.171893
191.231,-0.5859464,2.343786,-1.367208
191.232,0.1953155,0.390631,0.7812619
191.233,-0.7812619,0.5859464,0.7812619
191.234,0.1953155,1.757839,1.171893
191.235,-0.390631,-1.562524,-0.1953155
191.236,1.367208,1.171893,0.7812619
191.237,-0.390631,0,-1.562524
191.238,0.7812619,0.9765774,0.1953155
191.239,-0.7812619,0.7812619,-0.9765774
191.24,0.9765774,-0.5859464,-0.390631
191.241,-0.1953155,0.5859464,0.7812619
191.242,0,1.562524,0.7812619
191.243,0.9765774,1.171893,0.1953155
191.244,-0.1953155,0,0.7812619
191.245,2.14847,1.757839,0.5859464
191.246,-0.1953155,1.367208,0.390631
191.247,1.171893,0.7812619,-0.7812619
191.248,0.9765774,0.9765774,0.9765774
191.249,0.1953155,0.1953155,0.390631
191.25,0.1953155,0.390631,-1.562524
191.251,-0.390631,1.171893,0.9765774
191.252,0.390631,-0.7812619,0
191.253,0,0.390631,0.7812619
191.254,-1.171893,1.171893,-0.390631
191.255,1.367208,1.757839,1.367208
191.256,1.171893,1.367208,-0.390631
191.257,-0.390631,-0.390631,0.9765774
191.258,-1.171893,-0.1953155,0.7812619
191.259,0.9765774,-0.390631,1.562524
191.26,1.367208,0.9765774,-2.343786
191.261,0.5859464,-0.5859464,2.539101
191.262,-0.5859464,0.5859464,-0.7812619
191.263,0.5859464,-0.7812619,-1.171893
191.264,1.757839,1.953155,0.5859464
191.265,-0.7812619,2.14847,-0.390631
191.266,-0.5859464,-0.390631,0.5859464
191.267,1.367208,0.7812619,0.9765774
191.268,-0.9765774,0.9765774,1.367208
191.269,0.9765774,1.171893,0.5859464
191.27,-0.1953155,0.1953155,0.5859464
191.271,-0.1953155,1.757839,0.390631
191.272,2.734417,-0.5859464,1.757839
191.273,0,1.562524,0.390631
191.274,-1.367208,0.7812619,0.5859464
191.275,1.171893,-0.1953155,0
191.276,1.562524,-0.1953155,-0.5859464
191.277,0,-0.1953155,-0.1953155
191.278,0.5859464,1.367208,0
191.279,0.1953155,-0.1953155,-0.390631
191.28,-0.390631,-0.1953155,0.9765774
191.281,0.390631,0.390631,0
191.282,-0.390631,1.171893,1.171893
191.283,0.1953155,0.5859464,1.171893
191.284,0.1953155,1.953155,-0.9765774
191.285,1.171893,0.7812619,0.390631
191.286,-1.562524,-0.9765774,0.390631
191.287,1.953155,-0.1953155,0.5859464
191.288,1.562524,0,-0.390631
191.289,0.5859464,0.390631,-1.367208
191.29,0.390631,0.9765774,0.1953155
191.291,-0.1953155,-0.390631,-0.5859464
191.292,-0.9765774,0.7812619,1.367208
191.293,0.7812619,0.390631,1.562524
191.294,-0.390631,0.9765774,1.171893
191.295,1.367208,0.7812619,-0.5859464
191.296,-0.5859464,-0.390631,0.1953155
191.297,1.367208,2.539101,-0.390631
191.298,1.367208,0.1953155,0.390631
191.299,-0.7812619,1.367208,0
191.3,-1.367208,1.367208,0.5859464
191.301,0.9765774,0,0.5859464
191.302,0,-0.390631,1.562524
191.303,0.5859464,0.390631,2.343786
191.304,0,0.7812619,-1.367208
191.305,-0.5859464,-0.1953155,0.1953155
191.306,0.9765774,0.1953155,1.367208
191.307,1.171893,0.1953155,-0.7812619
191.308,0.390631,-0.390631,0.5859464
191.309,-0.390631,1.171893,0
191.31,0.1953155,-0.9765774,0.9765774
191.311,1.562524,-1.171893,-0.390631
191.312,0.9765774,0.390631,1.367208
191.313,-0.390631,0.9765774,-1.367208
191.314,-0.7812619,0.390631,-2.539101
191.315,0.390631,0.5859464,-1.757839
191.316,0.390631,1.562524,-0.5859464
191.317,-0.390631,-0.9765774,0.9765774
191.318,1.171893,-0.5859464,0.7812619
191.319,0.1953155,0.390631,-0.7812619
191.32,-0.390631,0.1953155,2.343786
191.321,1.367208,-0.390631,0.5859464
191.322,-0.390631,0.1953155,0.7812619
191.323,0.9765774,1.367208,1.171893
191.324,0.1953155,1.367208,0.7812619
191.325,0.7812619,0.5859464,-0.1953155
191.326,0.5859464,0.5859464,-0.5859464
191.327,-0.9765774,0.1953155,-0.1953155
191.328,0.390631,1.562524,0.390631
191.329,1.757839,0.390631,0.1953155
191.33,1.171893,0.9765774,1.171893
191.331,0.1953155,-0.7812619,0.7812619
191.332,0.1953155,1.562524,-0.1953155
191.333,0.1953155,-0.1953155,0.7812619
191.334,0.5859464,-0.390631,1.757839
191.335,1.562524,0.1953155,0
191.336,1.171893,0.390631,0.1953155
191.337,-1.171893,0.7812619,-0.7812619
191.338,0.5859464,-0.390631,-0.9765774
191.339,-1.367208,-0.390631,-0.7812619
191.34,-0.390631,0,0.7812619
191.341,-0.390631,0.390631,1.757839
191.342,1.171893,0.5859464,1.367208
191.343,0.1953155,-0.1953155,0.5859464
191.344,0.390631,-0.1953155,1.367208
191.345,0,0.390631,0.390631
191.346,-0.390631,-0.5859464,0.390631
191.347,0.390631,0.5859464,0
191.348,0.5859464,-0.1953155,0.5859464
191.349,0.7812619,-0.5859464,0.5859464
191.35,-0.1953155,1.757839,0
191.351,0,0.7812619,0.390631
191.352,0.1953155,-0.1953155,-0.390631
191.353,0.390631,1.171893,0
191.354,0.5859464,0.390631,-0.9765774
191.355,0.5859464,-0.9765774,-0.5859464
191.356,2.14847,0,0.9765774
191.357,-0.9765774,0.1953155,0.390631
191.358,1.367208,-0.9765774,0.1953155
