Time [s],X [°/s],Y [°/s],Z [°/s]
190.76325,0.4882887,-167.8492,5.493248
190.7645,1.831083,-170.5348,4.638742
190.76575,0.6103609,-171.7556,4.272526
190.767,0.2441444,-168.3375,5.249104
190.76825,2.197299,-165.8961,4.272526
190.7695,2.441443,-169.9245,4.150454
190.77075,1.831083,-173.5866,5.371176
190.772,1.220722,-172.7321,5.371176
190.773,0.8545052,-164.065,3.784237
190.77425,2.685588,-166.5065,4.516671
190.7755,2.563516,-170.901,4.638742
190.77675,3.418021,-171.6335,3.418021
190.778,3.295949,-174.9294,3.418021
190.77925,2.685588,-168.8258,4.272526
190.7805,3.051804,-169.5583,3.90631
190.78175,2.685588,-172.7321,3.051804
190.783,2.929732,-174.8074,3.173877
190.784,2.80766,-170.6569,3.418021
190.78525,3.784237,-172.8542,3.90631
190.7865,2.075227,-171.9997,3.540093
190.78775,2.929732,-166.0182,4.150454
190.789,2.929732,-164.6754,3.662165
190.79,3.051804,-171.9997,3.662165
190.79125,2.929732,-170.4128,4.028382
190.7925,2.685588,-166.1402,4.028382
190.79375,3.540093,-165.0416,4.028382
190.795,3.90631,-167.9713,5.004959
190.79625,3.662165,-168.9479,5.127031
190.7975,3.051804,-167.1168,4.638742
190.79875,3.051804,-162.356,4.760815
190.8,4.394598,-171.7556,4.882887
190.801,2.075227,-172.9763,4.150454
190.80225,3.051804,-165.6519,4.272526
190.8035,3.90631,-177.615,5.004959
190.80475,3.051804,-175.7839,4.882887
190.806,3.662165,-176.7605,5.371176
190.807,1.831083,-168.0934,4.760815
190.80825,2.80766,-163.6988,4.150454
190.8095,2.929732,-165.5299,4.638742
190.81075,3.540093,-169.5583,5.249104
190.812,3.295949,-168.9479,5.737392
190.81325,3.173877,-169.3141,6.103609
190.8145,3.173877,-177.4929,5.249104
190.81575,1.831083,-174.3191,5.981536
190.817,2.80766,-171.5114,5.737392
190.818,2.197299,-166.7506,4.516671
190.81925,2.80766,-163.0884,6.591897
190.8205,2.563516,-165.774,6.591897
190.82175,2.075227,-165.5299,6.71397
190.823,1.831083,-167.9713,6.836042
190.824,2.80766,-166.9947,7.32433
190.82525,3.418021,-169.8024,6.103609
190.8265,2.80766,-169.6803,6.469825
190.82775,1.953155,-166.0182,7.202258
190.829,1.342794,-163.6988,7.32433
190.83025,3.051804,-166.3844,7.32433
190.8315,2.563516,-171.2673,7.446403
190.83275,0.9765774,-164.065,8.545053
190.834,1.342794,-166.8727,8.42298
190.835,1.953155,-168.0934,7.446403
190.83625,2.441443,-167.7272,6.836042
190.8375,1.586938,-167.483,7.690547
190.83875,1.09865,-164.5533,7.568475
190.84,0.1220722,-163.8209,8.545053
190.84125,1.70901,-164.1871,10.13199
190.8425,0.4882887,-165.4078,9.399557
190.84375,1.09865,-168.5817,8.789197
190.845,-0.9765774,-165.8961,8.789197
190.846,0.4882887,-167.6051,8.789197
190.84725,0.9765774,-173.4646,9.765774
190.8485,0.4882887,-169.3141,9.887846
190.84975,0.9765774,-167.9713,9.155413
190.851,0.4882887,-160.7691,10.25406
190.852,0.8545052,-162.8443,9.155413
190.85325,0.3662165,-170.0465,10.37613
190.8545,-0.6103609,-171.3893,9.765774
190.85575,-0.7324331,-168.0934,10.00992
190.857,-0.3662165,-163.5767,10.49821
190.85825,-0.7324331,-165.1637,10.00992
190.8595,-0.2441444,-166.3844,10.62028
190.86075,0,-172.488,9.887846
190.862,-0.8545052,-178.9578,7.690547
190.863,-0.7324331,-178.3474,6.836042
190.86425,-0.2441444,-172.7321,4.028382
190.8655,2.197299,-174.8074,0.1220722
190.86675,4.028382,-179.6902,-3.662165
190.868,5.737392,-174.5632,-7.934691
190.86925,9.887846,-170.2907,-13.79416
190.8705,11.47478,-166.1402,-18.55497
190.87175,13.18379,-149.2943,-21.85092
190.873,15.01488,-141.4816,-24.53651
190.874,15.50317,-128.4199,-24.65858
190.87525,15.01488,-115.8465,-23.07164
190.8765,12.93965,-98.14603,-21.60678
190.87775,9.521629,-77.75998,-20.01984
190.879,5.371176,-60.91402,-18.31083
190.88,-1.586938,-51.51446,-15.62524
190.88125,-8.42298,-41.50454,-11.47478
190.8825,-16.35767,-27.2221,-4.882887
190.88375,-26.24552,-28.80903,1.586938
190.885,-37.23201,-38.33066,9.399557
190.88625,-48.09644,-43.33562,17.94461
190.8875,-58.22843,-48.7068,27.10002
190.88875,-67.75005,-59.44915,36.74372
190.89,-75.80682,-72.26673,46.26535
190.891,-81.66628,-81.05592,55.90906
190.89225,-86.67124,-93.019,63.84375
190.8935,-89.72305,-108.7663,70.06943
190.89475,-89.60098,-119.7528,76.05096
190.896,-86.79332,-129.7627,79.83521
190.897,-84.10773,-130.251,83.3753
190.89825,-80.32349,-128.2979,86.91539
190.8995,-73.73159,-127.5654,88.6244
190.90075,-67.26177,-129.6407,88.13611
190.902,-62.01266,-129.1524,88.13611
190.90325,-55.78698,-130.251,86.4271
190.9045,-51.14824,-129.1524,85.93881
190.90575,-47.364,-130.6172,83.61944
190.907,-44.55634,-133.0587,81.42214
190.908,-42.96941,-133.547,80.56763
190.90925,-42.60319,-132.4483,78.37034
190.9105,-40.65004,-135.0118,76.05096
190.91175,-40.16175,-139.2843,74.09781
190.913,-41.2604,-140.5051,70.92393
190.91425,-43.70184,-140.6272,68.23834
190.9155,-42.84733,-135.5001,65.79691
190.91675,-42.72526,-140.8713,62.7451
190.918,-44.55634,-143.4348,58.10635
190.919,-45.65499,-140.8713,55.66491
190.92025,-45.04463,-140.7492,51.88068
190.9215,-45.53292,-139.1623,48.7068
190.92275,-45.77707,-135.256,46.5095
190.924,-45.65499,-129.1524,44.55634
190.925,-43.09148,-130.1289,41.01625
190.92625,-41.87075,-135.9884,37.35408
190.9275,-42.72526,-131.7159,35.64508
190.92875,-40.77211,-129.1524,33.81399
190.93,-38.08652,-134.8898,31.86084
190.93125,-38.45274,-129.5186,31.25048
190.9325,-36.49958,-125.124,29.54147
190.93375,-34.18021,-128.4199,27.2221
190.935,-35.03471,-124.3915,25.0248
190.936,-33.08156,-122.5605,24.04822
190.93725,-31.73877,-127.5654,22.8275
190.9385,-30.88426,-133.4249,22.58335
190.93975,-30.76219,-135.5001,21.60678
190.941,-29.17525,-133.9132,19.77569
190.942,-26.36759,-144.0452,18.92119
190.94325,-27.58831,-141.6037,18.31083
190.9445,-26.48966,-136.965,16.11353
190.94575,-24.65858,-134.8898,14.64866
190.947,-22.94957,-144.5335,12.69551
190.94825,-23.43786,-146.3645,10.9865
190.9495,-21.72885,-145.0217,9.643702
190.95075,-20.75227,-146.3645,6.469825
190.952,-19.89776,-141.3596,4.028382
190.953,-18.06668,-145.388,1.953155
190.95425,-17.57839,-153.2006,0.1220722
190.9555,-18.79911,-146.8528,-2.929732
190.95675,-18.18876,-138.9181,-4.516671
190.958,-16.60182,-138.9181,-8.178836
190.95925,-17.09011,-141.1154,-10.00992
190.9605,-16.11353,-137.6974,-12.57343
190.96175,-15.25902,-140.7492,-15.86938
190.963,-15.01488,-142.4582,-17.45632
190.964,-14.77073,-143.801,-20.75227
190.96525,-16.47974,-139.4064,-23.43786
190.9665,-15.99146,-139.6506,-24.90272
190.96775,-15.62524,-138.9181,-27.71038
190.969,-14.40452,-138.1857,-30.02975
190.97,-14.52659,-135.256,-31.1284
190.97125,-13.91623,-137.2091,-32.71534
190.9725,-14.64866,-136.1105,-34.18021
190.97375,-12.57343,-135.378,-36.13337
190.975,-12.08514,-135.7443,-38.08652
190.97625,-10.74235,-145.9983,-38.81895
190.9775,-11.10857,-142.4582,-40.03967
190.97875,-10.13199,-137.2091,-42.35904
190.98,-9.887846,-146.9749,-44.19013
190.981,-8.42298,-149.2943,-44.43427
190.98225,-6.958114,-150.1488,-47.24193
190.9835,-6.71397,-152.5902,-48.21851
190.98475,-5.004959,-152.224,-50.53788
190.986,-4.028382,-149.6605,-51.02617
190.987,-3.418021,-149.4163,-53.34554
190.98825,-1.220722,-156.2524,-55.17662
190.9895,-1.831083,-153.5668,-56.1532
190.99075,-0.9765774,-150.515,-57.98428
190.992,0.6103609,-153.3226,-58.83879
190.99325,1.220722,-157.1069,-61.40231
190.9945,2.685588,-159.4263,-64.45411
190.99575,4.638742,-159.1821,-65.43069
190.997,5.493248,-156.7407,-66.28519
190.998,5.493248,-158.0835,-68.97078
190.99925,7.080186,-162.6001,-70.80186
191.0005,7.080186,-165.2857,-71.04601
191.00175,7.690547,-157.229,-73.12123
191.003,9.643702,-159.9146,-75.31853
191.00425,9.033341,-161.2573,-76.05096
191.0055,10.9865,-156.3745,-77.75998
191.00675,12.45136,-165.5299,-80.32349
191.008,12.08514,-165.8961,-81.42214
191.009,13.91623,-169.3141,-82.88701
191.01025,13.67208,-162.9664,-84.2298
191.0115,14.28244,-161.3794,-84.71809
191.01275,14.64866,-167.2389,-85.20638
191.014,15.13695,-169.4362,-85.45052
191.015,15.99146,-168.2155,-86.06088
191.01625,16.35767,-171.9997,-87.40368
191.0175,15.38109,-168.9479,-88.38026
