Time [s],X [°/s],Y [°/s],Z [°/s]
19.17525,298.7106,105.7145,-294.0719
19.1765,299.6872,108.278,-292.9732
19.17775,300.5417,110.8415,-294.0719
19.179,302.2507,108.5222,-294.1939
19.18025,302.3728,113.4051,-292.4849
19.1815,304.2039,116.0906,-291.6304
19.18275,303.4714,119.3866,-292.4849
19.184,303.5935,125.4902,-292.2408
19.185,305.4246,129.5186,-291.7525
19.18625,304.0818,131.5938,-290.7759
19.1875,306.0349,133.7911,-290.0435
19.18875,307.0115,136.965,-289.5552
19.19,306.0349,139.8947,-288.3345
19.19125,307.4998,143.3127,-287.48
19.1925,307.3777,146.6087,-287.8462
19.19375,307.2557,149.6605,-285.893
19.195,307.866,153.5668,-285.2827
19.196,306.5232,156.4965,-284.5502
19.19725,305.7908,160.1587,-283.0854
19.1985,305.6687,163.9429,-282.7191
19.19975,305.5467,168.5817,-281.7426
19.201,306.7674,170.1686,-281.3764
19.202,305.6687,173.9529,-281.0102
19.20325,304.8142,177.7371,-281.3764
19.2045,305.3025,180.0565,-281.1322
19.20575,305.7908,182.62,-279.9115
19.207,306.5232,184.451,-279.7894
19.20825,305.5467,189.8222,-281.1322
19.2095,303.7156,193.4844,-280.1556
19.21075,302.8611,197.879,-279.6674
19.212,302.9831,199.9542,-279.6674
19.213,301.8845,203.9826,-279.057
19.21425,301.03,206.7903,-277.9583
19.2155,301.7624,209.5979,-278.3246
19.21675,300.0534,213.5042,-278.6908
19.218,298.3444,217.1664,-277.348
19.219,297.0016,220.3403,-276.9818
19.22025,294.4381,225.7115,-275.3948
19.2215,293.5836,229.2515,-273.93
19.22275,292.7291,234.8669,-273.5638
19.224,294.0719,233.1579,-274.4182
19.22525,291.9966,234.0124,-273.8079
19.2265,291.0201,239.8718,-274.1741
19.22775,291.3863,242.6795,-273.5638
19.229,290.5318,246.5858,-273.0755
19.23,291.3863,250.9804,-272.343
19.23125,293.3394,249.7597,-271.9768
19.2325,293.2174,256.3516,-270.7561
19.23375,291.7525,257.6944,-269.4133
19.235,291.8746,258.793,-268.6808
19.23625,293.9498,260.7462,-267.9484
19.2375,296.2692,260.8682,-267.4601
19.23875,297.0016,260.0137,-266.8498
19.24,297.8561,260.8682,-266.7277
19.241,298.2223,266.4836,-265.2628
19.24225,298.3444,266.4836,-264.4083
19.2435,297.9782,265.9953,-262.6993
19.24475,296.8795,268.4367,-258.6709
19.246,295.7809,271.1223,-255.4971
