Time [s],X [g],Y [g],Z [g]
243.4,0.7812619,0.7812619,-0.390631
243.401,0.1953155,0.390631,1.562524
243.402,1.171893,0.5859464,0
243.403,-0.390631,1.562524,-0.390631
243.404,0.9765774,-1.171893,1.171893
243.405,0.1953155,0.5859464,0
243.406,-0.5859464,-0.390631,0
243.407,0.7812619,0.9765774,0.7812619
243.408,0.390631,1.171893,0.9765774
243.409,0.5859464,-0.7812619,-1.171893
243.41,-0.390631,0,1.757839
243.411,1.171893,0.390631,-0.5859464
243.412,0.7812619,1.757839,2.734417
243.413,0.1953155,0.7812619,-1.757839
243.414,0.9765774,-0.9765774,-0.5859464
243.415,0.9765774,-0.1953155,1.562524
243.416,0.5859464,0.5859464,0.1953155
243.417,0.7812619,0.5859464,-0.5859464
243.418,1.367208,1.367208,-1.562524
243.419,-0.1953155,0.1953155,2.14847
243.42,-1.171893,-0.1953155,0.390631
243.421,0.1953155,0,0.5859464
243.422,0.1953155,0.7812619,0.390631
243.423,0.5859464,-0.9765774,0.1953155
243.424,-0.1953155,-0.7812619,0.390631
243.425,0.390631,0.1953155,0.1953155
243.426,0.390631,0.390631,1.171893
243.427,-0.7812619,1.562524,0.1953155
243.428,-0.390631,1.562524,-0.390631
243.429,1.367208,-0.390631,0.1953155
243.43,-0.1953155,-0.5859464,0.1953155
243.431,0.5859464,1.953155,1.562524
243.432,0.390631,0.390631,-0.390631
243.433,0.390631,0.1953155,-0.1953155
243.434,1.367208,-0.5859464,-0.5859464
243.435,-0.9765774,0,0
243.436,0.1953155,0.5859464,1.562524
243.437,1.562524,0.390631,-0.7812619
243.438,-0.1953155,-1.171893,-0.390631
243.439,0.5859464,-0.390631,0.9765774
243.44,1.171893,1.171893,0
243.441,0.7812619,0,0.7812619
243.442,0.390631,0.7812619,1.953155
243.443,0.390631,-0.1953155,-0.9765774
243.444,0.9765774,0.5859464,-0.390631
243.445,0,1.757839,0.1953155
243.446,1.953155,-1.367208,0.1953155
243.447,1.367208,1.367208,0
243.448,-0.5859464,0.5859464,0.390631
243.449,-0.1953155,1.562524,-0.1953155
243.45,-0.9765774,-0.5859464,0.1953155
243.451,0.5859464,-0.1953155,-0.7812619
243.452,0,0.1953155,0.7812619
243.453,1.171893,-0.1953155,-0.390631
243.454,0.7812619,0,0.1953155
243.455,-0.5859464,0.390631,0
243.456,0.1953155,0,-0.390631
243.457,-0.390631,-0.9765774,0.9765774
243.458,-0.390631,0.9765774,0.1953155
243.459,0.390631,0.9765774,0.9765774
243.46,0.1953155,0.5859464,1.367208
243.461,0.390631,0.5859464,0.390631
243.462,0.7812619,1.367208,0.9765774
243.463,0,-0.9765774,-0.5859464
243.464,0.5859464,-0.390631,0.390631
243.465,-0.5859464,0.7812619,-0.5859464
243.466,-0.390631,0.1953155,0.9765774
243.467,1.757839,0.390631,1.562524
243.468,-0.7812619,1.171893,-0.1953155
243.469,1.562524,0,-0.5859464
