Time [s],X [°/s],Y [°/s],Z [°/s]
243.39925,-3.173877,-38.94102,0.6103609
243.4005,-1.831083,-38.57481,0.9765774
243.40175,-1.220722,-40.40589,1.342794
243.403,-1.953155,-39.55138,0.6103609
243.404,-2.80766,-39.55138,-0.1220722
243.40525,-2.80766,-39.67346,-0.3662165
243.4065,-3.051804,-39.18517,0.9765774
243.40775,-2.197299,-39.55138,0.2441444
243.409,-1.586938,-39.79553,0.2441444
243.41025,-1.953155,-39.0631,0.2441444
243.4115,-3.173877,-39.55138,0.2441444
243.41275,-4.028382,-38.57481,-0.3662165
243.414,-2.563516,-40.03967,-0.1220722
243.415,-2.075227,-39.30724,-0.4882887
243.41625,-2.197299,-40.77211,-0.2441444
243.4175,-3.540093,-42.23697,-0.1220722
243.41875,-3.173877,-40.65004,0.1220722
243.42,-4.028382,-40.89418,-1.09865
243.421,-3.418021,-40.65004,-0.6103609
243.42225,-3.90631,-41.50454,-0.9765774
243.4235,-5.493248,-39.79553,-0.4882887
243.42475,-3.784237,-38.20859,-1.09865
243.426,-2.563516,-39.42931,-0.7324331
243.42725,-3.418021,-39.9176,0
243.4285,-2.929732,-41.01625,-0.9765774
243.42975,-2.80766,-40.77211,-0.4882887
243.431,-3.662165,-39.67346,-0.4882887
243.432,-1.953155,-41.87075,-1.342794
243.43325,-3.540093,-39.42931,-1.831083
243.4345,-4.516671,-40.65004,0.2441444
243.43575,-4.394598,-40.65004,-0.7324331
243.437,-3.90631,-40.16175,-1.09865
243.43825,-5.127031,-38.94102,-0.9765774
243.4395,-4.028382,-39.30724,-0.3662165
243.44075,-4.394598,-37.84237,-0.2441444
243.442,-3.418021,-37.59823,-1.09865
243.443,-4.882887,-35.523,-0.9765774
243.44425,-2.80766,-39.30724,-1.220722
243.4455,-4.638742,-41.87075,-1.70901
243.44675,-4.882887,-38.94102,-1.586938
243.448,-5.737392,-37.84237,-0.4882887
243.449,-4.760815,-38.08652,-0.7324331
243.45025,-5.981536,-37.7203,-0.7324331
243.4515,-5.004959,-38.57481,-1.342794
243.45275,-5.004959,-40.40589,-1.586938
243.454,-5.859465,-40.77211,-2.563516
243.45525,-5.981536,-39.42931,-1.586938
243.4565,-6.591897,-39.18517,-2.197299
243.45775,-6.103609,-39.0631,-2.197299
243.459,-6.347753,-41.87075,-1.831083
243.46,-7.690547,-41.01625,-0.7324331
243.46125,-7.32433,-39.42931,-1.342794
243.4625,-8.178836,-39.30724,-2.075227
243.46375,-8.545053,-39.18517,-2.319371
243.465,-8.667125,-37.84237,-1.953155
243.466,-7.812619,-37.96445,-1.464866
243.46725,-7.690547,-39.9176,-1.70901
243.4685,-9.033341,-38.20859,-2.197299
243.46975,-8.545053,-37.47616,-2.197299
243.471,-8.911269,-38.20859,-2.197299
243.47225,-9.765774,-37.59823,-2.197299
243.4735,-8.911269,-37.59823,-1.464866
243.47475,-9.155413,-36.98787,-1.953155
243.476,-9.155413,-37.7203,-1.953155
243.477,-8.789197,-38.33066,-2.197299
243.47825,-9.765774,-37.84237,-2.80766
243.4795,-9.765774,-36.74372,-2.685588
243.48075,-10.25406,-36.98787,-2.80766
243.482,-10.74235,-38.45274,-2.319371
243.48325,-11.35271,-37.84237,-2.319371
243.4845,-10.49821,-37.7203,-1.953155
243.48575,-10.37613,-37.59823,-2.197299
243.487,-10.00992,-36.25544,-2.441443
243.488,-10.9865,-36.49958,-2.563516
243.48925,-11.71893,-35.523,-2.197299
243.4905,-10.9865,-35.523,-3.295949
243.49175,-10.49821,-35.88922,-2.685588
243.493,-10.25406,-35.76715,-3.295949
243.494,-10.00992,-36.62165,-2.929732
243.49525,-11.23064,-34.6685,-1.09865
243.4965,-11.10857,-34.91264,-2.319371
243.49775,-9.643702,-37.84237,-2.80766
243.499,-10.49821,-38.33066,-2.441443
243.50025,-10.74235,-35.76715,-1.70901
243.5015,-10.13199,-36.01129,-2.441443
243.50275,-11.35271,-36.13337,-2.319371
243.504,-10.9865,-34.91264,-3.051804
243.505,-9.521629,-36.98787,-1.953155
243.50625,-10.62028,-35.523,-2.319371
243.5075,-11.35271,-35.64508,-2.441443
243.50875,-10.86442,-38.69688,-3.051804
243.51,-11.47478,-34.91264,-2.563516
243.511,-10.86442,-34.6685,-2.441443
243.51225,-9.765774,-37.96445,-1.831083
243.5135,-10.00992,-38.69688,-2.563516
243.51475,-10.86442,-37.23201,-2.075227
243.516,-9.765774,-37.96445,-2.319371
243.51725,-10.13199,-37.84237,-2.197299
243.5185,-10.62028,-37.84237,-2.075227
243.51975,-8.911269,-41.2604,-1.09865
243.521,-9.887846,-39.30724,-2.319371
243.522,-10.00992,-35.15679,-2.563516
243.52325,-9.887846,-37.35408,-3.784237
243.5245,-9.521629,-38.57481,-2.929732
243.52575,-9.521629,-37.47616,-2.197299
243.527,-9.399557,-35.03471,-2.319371
243.52825,-9.033341,-35.40093,-1.70901
243.5295,-8.42298,-36.49958,-1.831083
243.53075,-9.033341,-36.74372,-2.441443
243.532,-9.521629,-34.79057,-3.051804
243.533,-8.42298,-35.523,-2.929732
243.53425,-8.056764,-36.62165,-3.540093
243.5355,-7.812619,-38.08652,-2.197299
243.53675,-8.667125,-37.84237,-3.051804
243.538,-8.911269,-35.523,-3.662165
